1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
2 1 TRANS34810 tumblr_na8mwwLFDM1skvnslo1_400 What does the man do after raise hand ?lie on a bed	What does the man do after raise hand ?pick up hat	What does the man do after raise hand ?lean body forward	What does the man do after raise hand ?cry	What does the man do after raise hand ?smile
1 2 TRANS17106 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do after stop on ground ?concentrate	What do the woman in polka dots do after stop on ground ?spin on pole	What do the woman in polka dots do after stop on ground ?open mouth	What do the woman in polka dots do after stop on ground ?grind pole	What do the woman in polka dots do after stop on ground ?sing into microphone
2 0 TRANS27350 tumblr_nfpco7YgzP1tqwtb6o1_500 What does the man do after stand ?turn and smile	What does the man do after stand ?dance	What does the man do after stand ?hug man	What does the man do after stand ?lick paw	What does the man do after stand ?drink from cup
2 4 TRANS22761 tumblr_ndm9mwnXCX1sxhklbo1_500 What does the man do before smile ?in the air	What does the man do before smile ?run around black dog	What does the man do before smile ?raise finger to mouth	What does the man do before smile ?lower the hood off head	What does the man do before smile ?stare something
3 0 TRANS25575 tumblr_no2uurCK7e1svtlk8o1_400 What does the teenager in white shirt do before look at the camera ?pray upwards	What does the teenager in white shirt do before look at the camera ?slide to a stop	What does the teenager in white shirt do before look at the camera ?spin around with a man on head	What does the teenager in white shirt do before look at the camera ?slightly smile	What does the teenager in white shirt do before look at the camera ?lower hand
3 4 TRANS26558 tumblr_n977kehLUd1thhys9o1_250 What does the person do after talk ?hug other guy	What does the person do after talk ?dance	What does the person do after talk ?stare at man	What does the person do after talk ?blink	What does the person do after talk ?put hand to their face
3 1 TRANS22783 tumblr_nfyngbHW2w1sfwliho1_400 What do the clamps do before close to show mustache ?hug	What do the clamps do before close to show mustache ?appear in front of cat	What do the clamps do before close to show mustache ?kick a ball	What do the clamps do before close to show mustache ?lick	What do the clamps do before close to show mustache ?ride on car
1 4 TRANS25600 tumblr_ndw164NVKb1slj978o1_400 What does the man do after look at man ?sign	What does the man do after look at man ?follow other girl	What does the man do after look at man ?raise eyebrows	What does the man do after look at man ?continue to stand in the rain	What does the man do after look at man ?butt head
4 1 TRANS31712 tumblr_naxep6N7nq1td6onfo1_500 What does the man do after spin a stick ?slide down	What does the man do after spin a stick ?destroy a piano	What does the man do after spin a stick ?sitting	What does the man do after spin a stick ?ride motorcycle	What does the man do after spin a stick ?swing in the hammock
4 2 TRANS47140 tumblr_nktuo9LS3E1qkm0g7o1_400 What does the woman on left do after look someone ?point to the camera	What does the woman on left do after look someone ?run in place	What does the woman on left do after look someone ?kiss a man	What does the woman on left do after look someone ?raise both hand	What does the woman on left do after look someone ?start to smile
1 4 TRANS19951 tumblr_ne7zv39Cep1stoqt2o1_400 What does the woman do before smile ?press body against taller guy	What does the woman do before smile ?cover mouth with hand	What does the woman do before smile ?lower camera	What does the woman do before smile ?run	What does the woman do before smile ?stare
3 4 TRANS21674 tumblr_nkvpzrOoIg1qeh6x6o1_1280 What does the motorcycle do after fly toward camera ?kiss girl on right	What does the motorcycle do after fly toward camera ?awake	What does the motorcycle do after fly toward camera ?sing	What does the motorcycle do after fly toward camera ?shoot it	What does the motorcycle do after fly toward camera ?reverse away from camera
2 3 TRANS32412 tumblr_n9fxbgYr0K1rvpycko1_250 What does the man on the left do after toast another man ?inside box	What does the man on the left do after toast another man ?slide	What does the man on the left do after toast another man ?watch a person on right explaining	What does the man on the left do after toast another man ?raise left hand	What does the man on the left do after toast another man ?left of the room
0 4 TRANS20966 tumblr_nd9lvuNePt1u15aayo1_400 What does the man do after look out window ?deal card	What does the man do after look out window ?smile	What does the man do after look out window ?nod head	What does the man do after look out window ?sign soccer ball	What does the man do after look out window ?drag on cigarette
0 3 TRANS48427 tumblr_nfodj8xom01s3att3o1_500 What does the man do before step back ?walk forward	What does the man do before step back ?smile	What does the man do before step back ?laugh	What does the man do before step back ?cut wood	What does the man do before step back ?talk
3 0 TRANS47935 tumblr_nirfqkloUU1tm4ygto1_250 What does the woman do before remove goggle ?shoot gun	What does the woman do before remove goggle ?step forward	What does the woman do before remove goggle ?lie down	What does the woman do before remove goggle ?open eyes	What does the woman do before remove goggle ?raise head
0 2 TRANS42487 tumblr_na3n11MVjp1tjoenzo1_500 What does the man do before scratch neck ?close eye	What does the man do before scratch neck ?walk forward	What does the man do before scratch neck ?scratch ear	What does the man do before scratch neck ?lie flat	What does the man do before scratch neck ?lift it
0 1 TRANS35689 tumblr_nc47bdxzrD1taknwvo1_500 What does the person on left do before laugh ?talk	What does the person on left do before laugh ?lift hand up	What does the person on left do before laugh ?play on step	What does the person on left do before laugh ?shoot puck	What does the person on left do before laugh ?okay
4 1 TRANS44958 tumblr_ncth2lxWbt1t7yv08o1_400 What does the woman do after laugh ?open door	What does the woman do after laugh ?shake head	What does the woman do after laugh ?close a door	What does the woman do after laugh ?run over by the segway	What does the woman do after laugh ?point to right cheek
2 3 TRANS49648 tumblr_ne61f5xOgp1u2opwno1_250 What does the left man do after stand up ?touch bug	What does the left man do after stand up ?smile	What does the left man do after stand up ?shake arm	What does the left man do after stand up ?run	What does the left man do after stand up ?laugh
4 0 TRANS41825 tumblr_naw1qfdqOm1tjp80xo1_500 What does the woman do before stare someone ?turn head	What does the woman do before stare someone ?lift arm up	What does the woman do before stare someone ?kiss man	What does the woman do before stare someone ?shoot a basket	What does the woman do before stare someone ?smile
3 4 TRANS14230 tumblr_nb0u0kCLwc1rn11fao1_250 What does the man do after jump to lower land ?splash	What does the man do after jump to lower land ?cook	What does the man do after jump to lower land ?pet the critter	What does the man do after jump to lower land ?remove glass	What does the man do after jump to lower land ?lie on the ground
0 1 TRANS21517 tumblr_n97vfsXK3r1tg8fs5o1_500 What does the woman do before smile ?cover mouth	What does the woman do before smile ?drink from bottle	What does the woman do before smile ?moving hand	What does the woman do before smile ?hook leg over dance partner	What does the woman do before smile ?wave hand gesture
3 2 TRANS43928 tumblr_najgdrKOWV1teiq60o1_500 What does the man do after grab something ?raise finger to mouth	What does the man do after grab something ?ride on a cart	What does the man do after grab something ?touch hand	What does the man do after grab something ?walk forward	What does the man do after grab something ?run away panically
2 4 TRANS40201 tumblr_np67fnXaAj1tatohao1_400 What does the man do before rub fox's belly ?raise eyebrows	What does the man do before rub fox's belly ?run	What does the man do before rub fox's belly ?have ice cube put into it	What does the man do before rub fox's belly ?point gun	What does the man do before rub fox's belly ?kiss fox
4 0 TRANS17428 tumblr_ngss70pA1B1sv5ws9o1_400 What does the woman do after look at laptop ?slide back	What does the woman do after look at laptop ?upset	What does the woman do after look at laptop ?argue with another man	What does the woman do after look at laptop ?become body	What does the woman do after look at laptop ?raise arm up
4 1 TRANS10490 tumblr_ncwg9lrvsc1t3ghero1_250 What do the eyes do after open ?paw toy	What do the eyes do after open ?blink	What do the eyes do after open ?sneeze	What do the eyes do after open ?groom itself	What do the eyes do after open ?cup face
4 3 TRANS36495 tumblr_nar370nJIW1s5wdwao1_500 What does the man do before spin around ?lean forward	What does the man do before spin around ?slide to the right	What does the man do before spin around ?lift arm	What does the man do before spin around ?do a fake motion	What does the man do before spin around ?swing once
2 3 TRANS18860 tumblr_nebrsyHwge1tky9gno1_400 What does the boy do after sit back in seat ?hesitate	What does the boy do after sit back in seat ?eat carrot	What does the boy do after sit back in seat ?rub hand down a woman's leg	What does the boy do after sit back in seat ?wave hand	What does the boy do after sit back in seat ?tie around metal
3 1 TRANS22080 tumblr_nh3wicyFbJ1u6y2kio1_250 What does the girl do after blink ?wave	What does the girl do after blink ?look behind her	What does the girl do after blink ?toss up	What does the girl do after blink ?wipe tear	What does the girl do after blink ?shout
4 2 TRANS21604 tumblr_nql8slVS0v1u1q122o1_400 What does the man with a pitcher do after roll body to the left ?show peace sign	What does the man with a pitcher do after roll body to the left ?pose	What does the man with a pitcher do after roll body to the left ?roll body to the right	What does the man with a pitcher do after roll body to the left ?appear in white	What does the man with a pitcher do after roll body to the left ?walks away
1 3 TRANS30518 tumblr_noayv5qODF1tfp28go1_500 What does the woman do after hug a boy ?swing hair	What does the woman do after hug a boy ?hug man	What does the woman do after hug a boy ?dance	What does the woman do after hug a boy ?put arm down	What does the woman do after hug a boy ?pose on ground
4 3 TRANS53953 tumblr_nqttc4g8jR1u7q0qeo1_400 What does the person who play soccer with a blue and red cloth do before shoot to the goal ?off	What does the person who play soccer with a blue and red cloth do before shoot to the goal ?open eye	What does the person who play soccer with a blue and red cloth do before shoot to the goal ?pick up stick	What does the person who play soccer with a blue and red cloth do before shoot to the goal ?overcome some other players	What does the person who play soccer with a blue and red cloth do before shoot to the goal ?touch chin
0 4 TRANS54345 tumblr_nqdyvfvVsB1u3j7l3o1_500 What does the man do before raise hand up ?grab woman's chin	What does the man do before raise hand up ?pick up gun	What does the man do before raise hand up ?touch another man's body	What does the man do before raise hand up ?start running	What does the man do before raise hand up ?lie on grass
2 1 TRANS11630 tumblr_ndoqxcn3iN1sd2bbjo1_400 What does the woman with a yellow clothe do after play rock paper scissor ?stare at a man	What does the woman with a yellow clothe do after play rock paper scissor ?celebrate	What does the woman with a yellow clothe do after play rock paper scissor ?flex arm	What does the woman with a yellow clothe do after play rock paper scissor ?blink eyes	What does the woman with a yellow clothe do after play rock paper scissor ?flat
0 4 TRANS40593 tumblr_nd4g1xvNl81tyu5lro1_500 What does the woman do before pull cigarette away from mouth ?cry	What does the woman do before pull cigarette away from mouth ?smile	What does the woman do before pull cigarette away from mouth ?happy	What does the woman do before pull cigarette away from mouth ?have their arm raise in the air	What does the woman do before pull cigarette away from mouth ?drag on cigarette
4 1 TRANS8022 tumblr_nozeurbvJO1ssgyoro1_250 What does the woman do after swing towel over shoulder ?pucker lips	What does the woman do after swing towel over shoulder ?wave hand	What does the woman do after swing towel over shoulder ?thrust hips	What does the woman do after swing towel over shoulder ?cover face	What does the woman do after swing towel over shoulder ?rub head
4 1 TRANS5345 tumblr_njq0e2SkJy1s3iqbho1_400 What does the man do before pull cover over himself ?convulse	What does the man do before pull cover over himself ?wake up	What does the man do before pull cover over himself ?slide	What does the man do before pull cover over himself ?grin	What does the man do before pull cover over himself ?spray it
0 1 TRANS20364 tumblr_n9znvoHWja1shpnybo1_400 What does the lady do after hug boy ?lean backward	What does the lady do after hug boy ?wave	What does the lady do after hug boy ?eat a strawberry	What does the lady do after hug boy ?tie up	What does the lady do after hug boy ?fit foot in shoe
2 0 TRANS2431 tumblr_n9pui2iakO1sjtfpao1_250 What does the person do before give thumb up ?tap a toy hula dancer	What does the person do before give thumb up ?kneel down	What does the person do before give thumb up ?peer forward	What does the person do before give thumb up ?shrug	What does the person do before give thumb up ?nod up and down
3 2 TRANS32271 tumblr_neua43pKJC1t0kntqo1_250 What does the yellow thing do before wave ?shut the door	What does the yellow thing do before wave ?reach out to someone	What does the yellow thing do before wave ?dance	What does the yellow thing do before wave ?disappear	What does the yellow thing do before wave ?point to face
0 2 TRANS1051 tumblr_ngvhms78FN1qkzi04o1_250 What does the man do before turn head away ?swipe hair with thumb	What does the man do before turn head away ?disgust	What does the man do before turn head away ?nod head	What does the man do before turn head away ?smoke a cigarette	What does the man do before turn head away ?peddle upright
1 4 TRANS39321 tumblr_n9r0jnVOmO1qfhxh5o1_400 What does the guy on right do before turn around ?open eye wide	What does the guy on right do before turn around ?step backward	What does the guy on right do before turn around ?to kiss	What does the guy on right do before turn around ?begin to dance	What does the guy on right do before turn around ?duck
1 3 TRANS11236 tumblr_nbdro9plFr1tfri6co1_400 What does the young man in stripped shirt do after smile ?land on floor	What does the young man in stripped shirt do after smile ?hug lady	What does the young man in stripped shirt do after smile ?wreck	What does the young man in stripped shirt do after smile ?tap friend	What does the young man in stripped shirt do after smile ?ride the motorcycle
0 3 TRANS19223 tumblr_n9alzxzCZo1rf023bo1_400 What does the man do before move hand ?sing into microphone	What does the man do before move hand ?play to drive a car	What does the man do before move hand ?cover face	What does the man do before move hand ?lean back	What does the man do before move hand ?fly
3 4 TRANS38456 tumblr_njozwkaCSE1sf640vo1_400 What does the woman do after come in a room ?hit down on horse figure	What does the woman do after come in a room ?smile	What does the woman do after come in a room ?lean forward	What does the woman do after come in a room ?laugh	What does the woman do after come in a room ?hold a dish of food
4 2 TRANS19877 tumblr_njvwny9VqM1unlvlpo1_400 What does the singer do before camera rotate around him ?glance up at the sky	What does the singer do before camera rotate around him ?swallow	What does the singer do before camera rotate around him ?back to camera	What does the singer do before camera rotate around him ?brush hair	What does the singer do before camera rotate around him ?pose
3 0 TRANS27189 tumblr_nh9b274vx41u6gjwao1_500 What does the couple do before kiss slowly ?stand close	What does the couple do before kiss slowly ?lick finger	What does the couple do before kiss slowly ?sleep in a bed	What does the couple do before kiss slowly ?fix friends dress	What does the couple do before kiss slowly ?smoke a cigarette
4 1 TRANS37234 tumblr_nork2uhJ4J1u0ed8wo1_500 What does the man on the right in a purple uniform do after run to the left ?looking down	What does the man on the right in a purple uniform do after run to the left ?shove another man	What does the man on the right in a purple uniform do after run to the left ?stay under screen	What does the man on the right in a purple uniform do after run to the left ?place something on a shelf	What does the man on the right in a purple uniform do after run to the left ?have squint face
2 0 TRANS6062 tumblr_nb35qjo88f1r4ni78o1_250 What does the man do after look left ?slap hand down	What does the man do after look left ?skate forward	What does the man do after look left ?tilt head to right	What does the man do after look left ?wag finger	What does the man do after look left ?land on tree
2 0 TRANS18150 tumblr_nc1q320Ed51s8jkazo1_250 What does the man with black hair do after stare down ?bow head	What does the man with black hair do after stare down ?read folder	What does the man with black hair do after stare down ?talk	What does the man with black hair do after stare down ?write something on glass	What does the man with black hair do after stare down ?run after girlfriend
2 1 TRANS52949 tumblr_ncj3exce911r189aqo1_400 What does the woman do before open door ?walk off the mat	What does the woman do before open door ?touch door	What does the woman do before open door ?run	What does the woman do before open door ?stop moving	What does the woman do before open door ?blow
1 3 TRANS51537 tumblr_nh7vnlXEvL1u6fg3no1_500 What does the lady do before sing ?pick up hat	What does the lady do before sing ?point finger	What does the lady do before sing ?close eye	What does the lady do before sing ?dance	What does the lady do before sing ?grab pig
0 4 TRANS42478 tumblr_nqn3tqmbjc1souwjko1_400 What does the black man do after show object ?touch hand with the other boy	What does the black man do after show object ?spin in arm	What does the black man do after show object ?step forward	What does the black man do after show object ?lift hand up	What does the black man do after show object ?eat object
1 4 TRANS8173 tumblr_n8ptm83Gmv1sc1cefo1_250 What does the man on the left do before touch other man's head ?represent 20	What does the man on the left do before touch other man's head ?wrap hand around man	What does the man on the left do before touch other man's head ?dress fall off and another dress be reveal	What does the man on the left do before touch other man's head ?pass puck to teammate	What does the man on the left do before touch other man's head ?tap forehead against teammate
3 1 TRANS27916 tumblr_naj9smLJW61tb2khbo1_250 What does the man do after walk ?punch	What does the man do after walk ?lie down	What does the man do after walk ?drag head on ground	What does the man do after walk ?hit car	What does the man do after walk ?fix tie
3 0 TRANS42875 tumblr_nkk5d5OAP41u6hnr3o1_500 What does the man who is laying on the ground do before kiss ?lean head back	What does the man who is laying on the ground do before kiss ?hit it	What does the man who is laying on the ground do before kiss ?stop lean back	What does the man who is laying on the ground do before kiss ?wait	What does the man who is laying on the ground do before kiss ?place bat side by side
2 4 TRANS19053 tumblr_nkhnae1Dec1qkfui5o1_400 What does the singer with long hair do before smile ?trip	What does the singer with long hair do before smile ?drive foward	What does the singer with long hair do before smile ?jump and dance	What does the singer with long hair do before smile ?hit the screen with paw	What does the singer with long hair do before smile ?lips purse
2 4 TRANS31780 tumblr_ncp9cs7p4S1u0p7zto1_400 What does the bride do after run from woman ?listen carefully	What does the bride do after run from woman ?slap a man	What does the bride do after run from woman ?hug other boy	What does the bride do after run from woman ?smile	What does the bride do after run from woman ?fall on floor
2 0 TRANS54434 tumblr_ncczjfdwFt1tav0gmo1_500 What does the man do after look calm ?stretch out arms	What does the man do after look calm ?talk	What does the man do after look calm ?smile	What does the man do after look calm ?say something	What does the man do after look calm ?touch hair
4 2 TRANS34336 tumblr_nq3l4pzkwU1sht3fmo1_400 What does the monkey do after cover face ?blow a candle	What does the monkey do after cover face ?reach up	What does the monkey do after cover face ?type	What does the monkey do after cover face ?smile	What does the monkey do after cover face ?wake up after he fall
0 2 TRANS58900 tumblr_ngg9bevBOT1qgbj39o1_500 What does the guy with black hair do after laugh ?jump to the air	What does the guy with black hair do after laugh ?smile	What does the guy with black hair do after laugh ?turn away	What does the guy with black hair do after laugh ?stick out tongue	What does the guy with black hair do after laugh ?catch the ball
4 3 TRANS53337 tumblr_n8zhb6N1pA1rtk9cxo1_250 What does the man do before put hand to face ?push other person away	What does the man do before put hand to face ?open laptop	What does the man do before put hand to face ?run away	What does the man do before put hand to face ?laugh	What does the man do before put hand to face ?close eye
2 4 TRANS56078 tumblr_nht4i30HAy1u7ebs7o1_500 What does the woman do after talk ?jump around	What does the woman do after talk ?run	What does the woman do after talk ?throw a microphone from one hand to the other	What does the woman do after talk ?push off wall	What does the woman do after talk ?smile
2 1 TRANS24056 tumblr_nbwc4uneyQ1tfb0wao1_400 What does the man do after cry ?fly to the sky	What does the man do after cry ?lean back	What does the man do after cry ?hit chest	What does the man do after cry ?play with ballon	What does the man do after cry ?wave
2 0 TRANS18479 tumblr_nkucigkbH01rah52so1_400 What does the woman do before stick tongue out ?zip out lips	What does the woman do before stick tongue out ?stare ahead	What does the woman do before stick tongue out ?talk about something	What does the woman do before stick tongue out ?upset	What does the woman do before stick tongue out ?react to be hit in the face
3 1 TRANS13165 tumblr_ni07wyWJAu1tgftffo1_400 What does the man do before stick out tongue ?adjust short	What does the man do before stick out tongue ?walk	What does the man do before stick out tongue ?punch air	What does the man do before stick out tongue ?flash hair	What does the man do before stick out tongue ?cover mouth
1 0 TRANS20324 tumblr_noyfekqixM1sj7lv3o1_400 What does the helicopter man do after move ?pick nose	What does the helicopter man do after move ?wave	What does the helicopter man do after move ?rise to feet	What does the helicopter man do after move ?dance	What does the helicopter man do after move ?blink eyes
3 0 TRANS32507 tumblr_nq8fk2Lw021u6hup1o1_400 What does the man do before get wash away by wave ?propose	What does the man do before get wash away by wave ?hit ball in water	What does the man do before get wash away by wave ?smile	What does the man do before get wash away by wave ?slide on the grass	What does the man do before get wash away by wave ?inside bag
1 4 TRANS29983 tumblr_n9ljcuFQoT1tptpheo1_250 What does the guy on right do before nod head ?show palm	What does the guy on right do before nod head ?embrace another woman	What does the guy on right do before nod head ?act disgusted	What does the guy on right do before nod head ?long	What does the guy on right do before nod head ?knock on table
3 4 TRANS33126 tumblr_n4if6wXn8V1twqmrvo1_500 What does the woman do after surprise ?raise head	What does the woman do after surprise ?lift hand	What does the woman do after surprise ?bend over	What does the woman do after surprise ?sing	What does the woman do after surprise ?look around
0 1 TRANS13685 tumblr_nda8dmQrs01u0doe1o1_250 What does the man do before close mouth ?nod	What does the man do before close mouth ?stick out tongue	What does the man do before close mouth ?closing hands together	What does the man do before close mouth ?at the bottom of the stairs	What does the man do before close mouth ?pose with up fist
4 3 TRANS10893 tumblr_ndyr8rSi4d1to0jsbo1_250 What does the man do before point at it ?zoom in	What does the man do before point at it ?twirl around	What does the man do before point at it ?stare ahead	What does the man do before point at it ?tie balloon	What does the man do before point at it ?wake up
0 3 TRANS30517 tumblr_noayv5qODF1tfp28go1_500 What does the woman do before put arm down ?play guitar	What does the woman do before put arm down ?run in circle	What does the woman do before put arm down ?change to other page	What does the woman do before put arm down ?hug a boy	What does the woman do before put arm down ?without a hood
3 4 TRANS34364 tumblr_nc9seliTsj1rigtemo1_500 What does the man do after walk ?hide around the corner	What does the man do after walk ?talk to the camera	What does the man do after walk ?speak into microphone	What does the man do after walk ?disappear	What does the man do after walk ?swing arms
3 4 TRANS46918 tumblr_n8ctf9ELMW1taivooo1_500 What does the car do after see ?kick forward leg	What does the car do after see ?run toward soccer ball	What does the car do after see ?start smile	What does the car do after see ?take a glance to the camera	What does the car do after see ?invisible
0 2 TRANS50488 tumblr_nbz9evJpXZ1tgqwj8o1_250 What does the woman do after close eye ?open eyes wide	What does the woman do after close eye ?raise eyebrows	What does the woman do after close eye ?blink rapidly	What does the woman do after close eye ?run	What does the woman do after close eye ?talk
0 3 TRANS39471 tumblr_nhvbgxJW4s1u6lo1go1_400 What does the boy do before open the book ?see the whale	What does the boy do before open the book ?open eye	What does the boy do before open the book ?close legs together	What does the boy do before open the book ?toss	What does the boy do before open the book ?ride on sidewalk
4 0 TRANS31770 tumblr_nrczpkDZLN1r7t178o1_500 What does the dog do after move one ear ?move the other ear	What does the dog do after move one ear ?scream	What does the dog do after move one ear ?sing	What does the dog do after move one ear ?smile	What does the dog do after move one ear ?bite on lips
1 3 TRANS36077 tumblr_nqtjn9aMbk1qbvprao1_500 What does the woman do before drive a car ?lean down	What does the woman do before drive a car ?point	What does the woman do before drive a car ?drop hand slowly down to kitten	What does the woman do before drive a car ?sing	What does the woman do before drive a car ?run on roof
1 0 TRANS42532 tumblr_ndpvlv2vBX1qfz6d1o1_500 What does the man do after shake head ?roll eye	What does the man do after shake head ?close eye	What does the man do after shake head ?walk	What does the man do after shake head ?talk towards light	What does the man do after shake head ?open mouth
1 4 TRANS36078 tumblr_nqtjn9aMbk1qbvprao1_500 What does the woman do after sing ?speak	What does the woman do after sing ?smile	What does the woman do after sing ?kiss man	What does the woman do after sing ?bite dog tongue	What does the woman do after sing ?drive a car
3 4 TRANS35546 tumblr_nnzt2wmz6S1ql37t5o1_500 What does the man do after look forward ?straight face	What does the man do after look forward ?slide down on bed	What does the man do after look forward ?bite donut	What does the man do after look forward ?kiss	What does the man do after look forward ?raise eyebrow
2 0 TRANS37505 tumblr_ndqtrnPBRk1tgvzrro1_500 What does the boy do before smile at the camera ?drink coffe	What does the boy do before smile at the camera ?step up	What does the boy do before smile at the camera ?move head	What does the boy do before smile at the camera ?spin out of control	What does the boy do before smile at the camera ?flip hair
0 1 TRANS41547 tumblr_nabwvrGgUt1rmv3nuo1_500 What does the man do before smile ?kiss a girl	What does the man do before smile ?carry	What does the man do before smile ?smile	What does the man do before smile ?kick it away	What does the man do before smile ?spin in circle
1 2 TRANS8198 tumblr_nba4pcH1vc1slj978o1_400 What does the turtle do after walk ?thrust hips	What does the turtle do after walk ?bite food	What does the turtle do after walk ?run	What does the turtle do after walk ?munch on food	What does the turtle do after walk ?deflate
0 3 TRANS22199 tumblr_nomzmxiZJ11uw1xz8o1_400 What does the woman do before grasp at a man ?wear a sunglass	What does the woman do before grasp at a man ?bite tongue	What does the woman do before grasp at a man ?drink from a cup	What does the woman do before grasp at a man ?step back	What does the woman do before grasp at a man ?eat
0 4 TRANS32645 tumblr_nflomgPlCj1t0rduno1_400 What does the woman do before turn ?begin to cry	What does the woman do before turn ?run into the side of a box	What does the woman do before turn ?change their position	What does the woman do before turn ?play patty-cake	What does the woman do before turn ?hug gorrilla
3 0 TRANS51568 tumblr_nqoyiuB8PT1s8zwaao1_250 What does the man do after hold kid ?raise kid above head	What does the man do after hold kid ?smile	What does the man do after hold kid ?touch shirt	What does the man do after hold kid ?pick up hand	What does the man do after hold kid ?stick out tongue
3 2 TRANS52208 tumblr_ndmu0qjhiV1rj84s9o1_500 What does the man do after picking up food ?push someone in the face	What does the man do after picking up food ?touch face	What does the man do after picking up food ?eating	What does the man do after picking up food ?hold a ciggarette	What does the man do after picking up food ?knock over dominos
0 2 TRANS28637 tumblr_njani5ubre1un7bwpo1_500 What does the boy do before turn head ?lick lips	What does the boy do before turn head ?eat an ice cream	What does the boy do before turn head ?wave	What does the boy do before turn head ?lean down	What does the boy do before turn head ?stay under water
4 1 TRANS35698 tumblr_nig4b0b1ln1rs9adzo1_400 What does the man with a long hair do after sing ?run away	What does the man with a long hair do after sing ?hug the guitarist	What does the man with a long hair do after sing ?play guitar	What does the man with a long hair do after sing ?begin smile	What does the man with a long hair do after sing ?start walking
3 0 TRANS51205 tumblr_nek7op2Sfd1u31i4ao1_400 What does the boy in white shirt on right do before hug girl ?talk to girl	What does the boy in white shirt on right do before hug girl ?grab microphone	What does the boy in white shirt on right do before hug girl ?blow a kiss	What does the boy in white shirt on right do before hug girl ?hand hold up	What does the boy in white shirt on right do before hug girl ?fall down
3 4 TRANS47520 tumblr_nbh2zp3q8L1rx8mrmo1_r1_500 What does the woman do after stand still ?laugh	What does the woman do after stand still ?talk	What does the woman do after stand still ?happy	What does the woman do after stand still ?turns color to purple	What does the woman do after stand still ?lift arm
0 3 TRANS30330 tumblr_neyg4g5FNn1sh32sgo1_400 What does the guy with long hair do after turn around ?embrace a man	What does the guy with long hair do after turn around ?dance	What does the guy with long hair do after turn around ?lean in	What does the guy with long hair do after turn around ?blow heart	What does the guy with long hair do after turn around ?sing
3 1 TRANS44615 tumblr_nad41z4HEZ1to42nqo1_400 What does the girl with red hair do before close mouth ?shake head	What does the girl with red hair do before close mouth ?open mouth	What does the girl with red hair do before close mouth ?laugh	What does the girl with red hair do before close mouth ?smile	What does the girl with red hair do before close mouth ?kiss finger
4 2 TRANS12427 tumblr_naidmtIv1H1twoe5do1_400 What does the kitten do before touch mouth ?stare left	What does the kitten do before touch mouth ?sing into microphone	What does the kitten do before touch mouth ?wave	What does the kitten do before touch mouth ?chew	What does the kitten do before touch mouth ?eat it out of hand
4 3 TRANS48994 tumblr_n93oox0VfY1s824qjo1_r1_400 What does the person do after kiss finger ?sit still	What does the person do after kiss finger ?pick up object	What does the person do after kiss finger ?walk	What does the person do after kiss finger ?wave them at the camera	What does the person do after kiss finger ?laugh
2 3 TRANS18406 tumblr_niu5dzNP7G1u62tooo1_400 What does the dog do after nod head down and bite toy ?play guitar	What does the dog do after nod head down and bite toy ?dance	What does the dog do after nod head down and bite toy ?pop bubble	What does the dog do after nod head down and bite toy ?lift head up	What does the dog do after nod head down and bite toy ?blink
1 2 TRANS11094 tumblr_nnzkzxzWdA1qhojs7o1_250 What does the girl do after walk ?trailer	What does the girl do after walk ?bits lip	What does the girl do after walk ?raise a yellow colored object	What does the girl do after walk ?stare	What does the girl do after walk ?guitar behind back
4 3 TRANS26473 tumblr_nim346VHpt1u47a83o1_250 What does the lady do before look away ?cross eye	What does the lady do before look away ?play guitar	What does the lady do before look away ?pass a ball to someone else	What does the lady do before look away ?rub boys face	What does the lady do before look away ?answer the phone
2 4 TRANS46943 tumblr_n9orznkSQa1sorauco1_400 What does the man in red shirt do before keep arm up ?lay down	What does the man in red shirt do before keep arm up ?kiss with another person	What does the man in red shirt do before keep arm up ?walk towards man	What does the man in red shirt do before keep arm up ?kick leg	What does the man in red shirt do before keep arm up ?fix collar
3 2 TRANS33389 tumblr_npse0rkOip1tq0lgpo1_500 What does the man do before sit upright ?scream	What does the man do before sit upright ?flip over	What does the man do before sit upright ?place block	What does the man do before sit upright ?lean back	What does the man do before sit upright ?slap man in white
2 3 TRANS37570 tumblr_nkzyzdqa6U1te534ko1_400 What does the man do after roll on floor ?spin in chair	What does the man do after roll on floor ?lift head	What does the man do after roll on floor ?raise butt in air	What does the man do after roll on floor ?look to camera	What does the man do after roll on floor ?swing an object
2 4 TRANS56282 tumblr_ndtff81cUJ1rnyuruo1_500 What does the woman do after walk on front of boys ?walk on beach	What does the woman do after walk on front of boys ?say something	What does the woman do after walk on front of boys ?come to the screen	What does the woman do after walk on front of boys ?run around corner	What does the woman do after walk on front of boys ?brush hair
0 2 TRANS10010 tumblr_nb24d6muvo1qc93dho1_400 What does the woman do after jump ?hug friend	What does the woman do after jump ?drift on the street	What does the woman do after jump ?pump arm	What does the woman do after jump ?smile	What does the woman do after jump ?duck down
