4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
4 1 TRANS11629 tumblr_ndoqxcn3iN1sd2bbjo1_400 What does the woman with a yellow clothe do before celebrate ?brush hair	What does the woman with a yellow clothe do before celebrate ?play rock paper scissor	What does the woman with a yellow clothe do before celebrate ?hug a boy	What does the woman with a yellow clothe do before celebrate ?spray it	What does the woman with a yellow clothe do before celebrate ?fork food
2 4 TRANS6269 tumblr_nb6h8wHH8F1sm7km1o1_250 What does the child do before talks ?remove right glove	What does the child do before talks ?dribble ball	What does the child do before talks ?pour milk	What does the child do before talks ?paw a corner of a page	What does the child do before talks ?jumps down stairs
0 2 TRANS43859 tumblr_ncw9e8WBuP1tkengwo2_500 What does the man in black shirt do before look forward ?open eye	What does the man in black shirt do before look forward ?step away	What does the man in black shirt do before look forward ?laugh	What does the man in black shirt do before look forward ?drop other clothe	What does the man in black shirt do before look forward ?raise head
2 4 TRANS46943 tumblr_n9orznkSQa1sorauco1_400 What does the man in red shirt do before keep arm up ?lay down	What does the man in red shirt do before keep arm up ?kiss with another person	What does the man in red shirt do before keep arm up ?walk towards man	What does the man in red shirt do before keep arm up ?kick leg	What does the man in red shirt do before keep arm up ?fix collar
2 3 TRANS49811 tumblr_nax34fpBeq1rxahw2o1_250 What does the man do before walk after her ?run backwards	What does the man do before walk after her ?raise eyebrow	What does the man do before walk after her ?walk away	What does the man do before walk after her ?touch face	What does the man do before walk after her ?stop at microphone
3 2 TRANS32725 tumblr_ne7wq51Orv1rzmnfso1_500 What does the man who wear a blue shirt do before fall on ground ?dance	What does the man who wear a blue shirt do before fall on ground ?hug	What does the man who wear a blue shirt do before fall on ground ?turn around	What does the man who wear a blue shirt do before fall on ground ?fly in the sky	What does the man who wear a blue shirt do before fall on ground ?sing
4 3 TRANS46414 tumblr_nbh1deqvo01tl6l5bo1_250 What does the man in an olive drab jacket do after walk away from the camera ?laugh	What does the man in an olive drab jacket do after walk away from the camera ?kiss her	What does the man in an olive drab jacket do after walk away from the camera ?smile	What does the man in an olive drab jacket do after walk away from the camera ?turn around	What does the man in an olive drab jacket do after walk away from the camera ?shake head
4 3 TRANS16016 tumblr_nguxxvuPLQ1s6sj31o1_400 What does the guy to the right do after slip around ?speak	What does the guy to the right do after slip around ?walk out the doors	What does the guy to the right do after slip around ?laugh	What does the guy to the right do after slip around ?cover a hole	What does the guy to the right do after slip around ?pause with man in arm
3 0 TRANS44561 tumblr_nftycahmCX1tjp80xo1_400 What does the woman do before arm parallel with hand in fists ?arm cross	What does the woman do before arm parallel with hand in fists ?talk	What does the woman do before arm parallel with hand in fists ?happy	What does the woman do before arm parallel with hand in fists ?come to another man who be on the left	What does the woman do before arm parallel with hand in fists ?try to catch spider
3 4 TRANS3831 tumblr_nopyj6DOCW1ryce90o1_250 What does the man do before look up ?inhale slowly	What does the man do before look up ?kneel down	What does the man do before look up ?peck shoot glass	What does the man do before look up ?puff up	What does the man do before look up ?kick ball
1 0 TRANS15153 tumblr_n9mkavVnfx1tix523o1_500 What does the man do before take a drink ?lift up cup	What does the man do before take a drink ?confuse	What does the man do before take a drink ?play with hair	What does the man do before take a drink ?shoot people	What does the man do before take a drink ?talking
3 0 TRANS19392 tumblr_ngx8i4P8R61rdm91ko1_400 What does the woman do after stick out tongue ?hug cat	What does the woman do after stick out tongue ?run	What does the woman do after stick out tongue ?in goal	What does the woman do after stick out tongue ?rise up	What does the woman do after stick out tongue ?appear at top of the stairs
2 0 TRANS17428 tumblr_ngss70pA1B1sv5ws9o1_400 What does the woman do after look at laptop ?slide back	What does the woman do after look at laptop ?upset	What does the woman do after look at laptop ?argue with another man	What does the woman do after look at laptop ?become body	What does the woman do after look at laptop ?raise arm up
1 0 TRANS46051 tumblr_nduyhsKaEd1tqd3ieo1_500 What does the man do before stretch arm ?blow smoke	What does the man do before stretch arm ?walk forward	What does the man do before stretch arm ?touch himself	What does the man do before stretch arm ?open mouth	What does the man do before stretch arm ?raise head up
4 2 TRANS22994 tumblr_nf2cavLMyV1sbpxeho1_400 What does the man do after open door ?blink eye	What does the man do after open door ?shake head	What does the man do after open door ?open eyes	What does the man do after open door ?spin upside down on hand	What does the man do after open door ?wear a skirt
1 0 TRANS56872 tumblr_nk50qbAqRO1t0m9wio1_500 What does the girl do after move backward ?open eye	What does the girl do after move backward ?smile	What does the girl do after move backward ?throw man	What does the girl do after move backward ?stick out arm	What does the girl do after move backward ?blow smoke
4 2 TRANS56554 tumblr_n9vwgyFXql1skvmlho1_500 What does the woman do after move finger ?close the door	What does the woman do after move finger ?point at the inside of car	What does the woman do after move finger ?dance	What does the woman do after move finger ?pick up a chair	What does the woman do after move finger ?grab hand
4 1 TRANS17340 tumblr_n8rnwltUJl1rj9gnoo1_400 What does the man do after hold hand to face ?run out of the screen	What does the man do after hold hand to face ?smile	What does the man do after hold hand to face ?land in snow	What does the man do after hold hand to face ?lower hand	What does the man do after hold hand to face ?remove hand from neck
0 2 TRANS37951 tumblr_nqvj8l4kcT1uq7zwjo1_400 What does the man do before twitch mouth ?begin to get emotional	What does the man do before twitch mouth ?run in the water	What does the man do before twitch mouth ?hug toy	What does the man do before twitch mouth ?start to play	What does the man do before twitch mouth ?spin
1 0 TRANS12082 tumblr_ngc3ha74A51tkg42io1_250 What does the girl do after walk with a man ?wave by two hand	What does the girl do after walk with a man ?stare at other man	What does the girl do after walk with a man ?cover mouth	What does the girl do after walk with a man ?chew	What does the girl do after walk with a man ?sing
2 3 TRANS38365 tumblr_ndrnwh1NGc1ronfvbo1_400 What does the man do before wave both hand erratically ?bite tree	What does the man do before wave both hand erratically ?smile	What does the man do before wave both hand erratically ?kiss	What does the man do before wave both hand erratically ?drive with one hand	What does the man do before wave both hand erratically ?cry
2 3 TRANS8424 tumblr_nebni51x4q1u1209ao1_250 What does the woman do after smile ?dance	What does the woman do after smile ?wave sparkler	What does the woman do after smile ?pour hot sauce	What does the woman do after smile ?close a door	What does the woman do after smile ?flip woman onto shoulder
0 3 TRANS56258 tumblr_ncazoq85vS1s4oc34o1_400 What does the man with a yellow clothe do after stop friends ?push him away	What does the man with a yellow clothe do after stop friends ?throw bottle	What does the man with a yellow clothe do after stop friends ?blow smoke	What does the man with a yellow clothe do after stop friends ?look angry	What does the man with a yellow clothe do after stop friends ?knock down
0 4 TRANS19858 tumblr_nrjmxuJrpb1sw471io1_400 What does the man do after turn ?on	What does the man do after turn ?cross arm	What does the man do after turn ?open beak	What does the man do after turn ?in house	What does the man do after turn ?shake butt
0 4 TRANS4826 tumblr_nd2y0o0hsA1tm7c4co1_250 What does the man do after fix coat collar ?inhale smoke	What does the man do after fix coat collar ?run with buck of water	What does the man do after fix coat collar ?lead horse	What does the man do after fix coat collar ?pet puppy	What does the man do after fix coat collar ?gesture with hand
0 4 TRANS38097 tumblr_nhk0bpnU3c1tjhld9o1_400 What does the woman do before touch mouth ?lift head	What does the woman do before touch mouth ?smile	What does the woman do before touch mouth ?lean head back	What does the woman do before touch mouth ?begin to hug with another man	What does the woman do before touch mouth ?throw ball
2 1 TRANS32375 tumblr_ni05olbLcN1u1c6rno1_250 What does the man do before fall from chair ?lift up arm	What does the man do before fall from chair ?talk	What does the man do before fall from chair ?bend forward	What does the man do before fall from chair ?stretch out right hand	What does the man do before fall from chair ?swing arm
4 2 TRANS36061 tumblr_nqz2rd3kpm1ur7v4wo1_400 What does the woman do before hold a man ?raise eyebrow	What does the woman do before hold a man ?talk	What does the woman do before hold a man ?brush hair	What does the woman do before hold a man ?hit tamborine	What does the woman do before hold a man ?play guitar
1 0 TRANS18408 tumblr_ndzw33j6bu1th8rjso1_400 What does the dog do after look at the red point ?bite the boy's pant	What does the dog do after look at the red point ?enter a phone booth	What does the dog do after look at the red point ?sing	What does the dog do after look at the red point ?perform a mid air split	What does the dog do after look at the red point ?land
4 0 TRANS39442 tumblr_nnkpi9gRWK1s778oho1_400 What does the band do after remove the coat ?dance	What does the band do after remove the coat ?point	What does the band do after remove the coat ?lift woman	What does the band do after remove the coat ?close fist	What does the band do after remove the coat ?drop water
4 1 TRANS46592 tumblr_npxztb7Ly31tf406do1_400 What does the man do after throw a keg ?roll up sleeve	What does the man do after throw a keg ?walk away	What does the man do after throw a keg ?touch breast	What does the man do after throw a keg ?blow smoke	What does the man do after throw a keg ?flip skateboard
2 1 TRANS7484 tumblr_nqlw0r5pkk1r0rbcso1_500 What does the man do after look away ?stare forward	What does the man do after look away ?block the light with hand	What does the man do after look away ?speak	What does the man do after look away ?wink	What does the man do after look away ?dance
4 3 TRANS19528 tumblr_nc7mq3cXqj1s71nvbo1_400 What does the woman do after remove whistle ?dance	What does the woman do after remove whistle ?smile	What does the woman do after remove whistle ?sing	What does the woman do after remove whistle ?drop it	What does the woman do after remove whistle ?nod head
3 0 TRANS13545 tumblr_ngg49ohpJN1tczz3so1_250 What does the woman do before move an object to left side ?stare straight ahead	What does the woman do before move an object to left side ?raise butt in air	What does the woman do before move an object to left side ?run for a touchdown	What does the woman do before move an object to left side ?offer a ring	What does the woman do before move an object to left side ?pump them up
2 3 TRANS41839 tumblr_nq0308HA2T1uswp0ko1_400 What does the person do before dance around opponents ?shake head	What does the person do before dance around opponents ?flip hair	What does the person do before dance around opponents ?spin	What does the person do before dance around opponents ?receive ball	What does the person do before dance around opponents ?laugh
4 0 TRANS53857 tumblr_nir4hpcZqn1sw4189o1_500 What does the woman do before turn head to left ?laugh	What does the woman do before turn head to left ?open eye	What does the woman do before turn head to left ?run into locker	What does the woman do before turn head to left ?push chair	What does the woman do before turn head to left ?close eye
0 3 TRANS15170 tumblr_nqxdsn2yZB1r2lnvfo1_400 What does the woman do after have hand in Jacuzzi ?shake head	What does the woman do after have hand in Jacuzzi ?sing a song	What does the woman do after have hand in Jacuzzi ?tap boy with finger	What does the woman do after have hand in Jacuzzi ?point up	What does the woman do after have hand in Jacuzzi ?hug a person on right
0 1 TRANS21214 tumblr_n9wrdo0tex1tff33do1_400 What does the woman do after hold cat ?open lid with spill sauce	What does the woman do after hold cat ?shake cat	What does the woman do after hold cat ?in mouth	What does the woman do after hold cat ?on the ground	What does the woman do after hold cat ?show things in hand
3 4 TRANS3479 tumblr_ng1e71BPG01u4eoygo1_400 What does the man do before turn round ?wear a hat	What does the man do before turn round ?puff cheek out	What does the man do before turn round ?uncover hair from face	What does the man do before turn round ?yawn	What does the man do before turn round ?hit down to the air
1 2 TRANS42451 tumblr_ne5u53Y1w41tw8vf9o1_400 What does the woman in orange shirt do before sit upright ?ride a bike	What does the woman in orange shirt do before sit upright ?spin	What does the woman in orange shirt do before sit upright ?lay flat on rock	What does the woman in orange shirt do before sit upright ?kick	What does the woman in orange shirt do before sit upright ?hit the ball
0 4 TRANS28226 tumblr_nf5m5fBbyF1u11j39o1_500 What does the man do after look at camera ?lean head back	What does the man do after look at camera ?suck index finger into mouth	What does the man do after look at camera ?spread out arm	What does the man do after look at camera ?serious	What does the man do after look at camera ?walk away
2 3 TRANS38693 tumblr_na4o38uibi1sw33zno1_400 What does the guy with cup do before throw Frisbee ?spin	What does the guy with cup do before throw Frisbee ?step forward	What does the guy with cup do before throw Frisbee ?move head	What does the guy with cup do before throw Frisbee ?drink from cup	What does the guy with cup do before throw Frisbee ?flip backward
2 0 TRANS33508 tumblr_nhlzyti80Q1tlwsgoo1_500 What does the lady do after blink ?lift chopsticks	What does the lady do after blink ?talk to someone	What does the lady do after blink ?watch image	What does the lady do after blink ?talking with someone	What does the lady do after blink ?shoot puck
4 3 TRANS52091 tumblr_ni35qtxOtN1u4x9lco1_500 What does the boy do before take the cover off ?start give smile	What does the boy do before take the cover off ?pick it up	What does the boy do before take the cover off ?touch face	What does the boy do before take the cover off ?lie down with face cover	What does the boy do before take the cover off ?grab tail
1 4 TRANS40709 tumblr_n9jww1Tbcq1t7f0qno1_500 What does the man do before touch a woman's fist ?flip in air	What does the man do before touch a woman's fist ?kiss	What does the man do before touch a woman's fist ?straight face	What does the man do before touch a woman's fist ?smile	What does the man do before touch a woman's fist ?raise arm
2 3 TRANS43430 tumblr_ngualrRXyN1rbw48po1_500 What does the man with beard do after laugh ?point finger upward	What does the man with beard do after laugh ?run out of barn	What does the man with beard do after laugh ?have ice cube put into it	What does the man with beard do after laugh ?kiss a man on right	What does the man with beard do after laugh ?raise hand in air
0 1 TRANS45687 tumblr_n8q38bvjRB1tg6xino1_250 What does the woman do before wave hand ?step left	What does the woman do before wave hand ?eat a hotdog	What does the woman do before wave hand ?touch grass	What does the woman do before wave hand ?flip over	What does the woman do before wave hand ?behind mirror
3 4 TRANS51768 tumblr_ncf1dpahl31sirc9vo1_500 What does the man do after put hand in air ?are apart	What does the man do after put hand in air ?smile	What does the man do after put hand in air ?shake body	What does the man do after put hand in air ?lay arm on ground	What does the man do after put hand in air ?play guitar
2 0 TRANS37505 tumblr_ndqtrnPBRk1tgvzrro1_500 What does the boy do before smile at the camera ?drink coffe	What does the boy do before smile at the camera ?step up	What does the boy do before smile at the camera ?move head	What does the boy do before smile at the camera ?spin out of control	What does the boy do before smile at the camera ?flip hair
4 2 TRANS19557 tumblr_nczp2qvU8V1tsq7wxo1_400 What does the woman do before gently wipe finger and hand ?dance	What does the woman do before gently wipe finger and hand ?shock	What does the woman do before gently wipe finger and hand ?pick up napkin	What does the woman do before gently wipe finger and hand ?rise up on the screen	What does the woman do before gently wipe finger and hand ?wave right hand
0 3 TRANS5129 tumblr_nbcyot0xr11t5voh8o1_250 What does the boy do before turn away ?lick lips	What does the boy do before turn away ?gasp	What does the boy do before turn away ?tilt head left	What does the boy do before turn away ?wave hand	What does the boy do before turn away ?sing
0 4 TRANS57969 tumblr_nfgkpzxpv01qclz9ho1_1280 What does the woman do before yell ?sit up on the bed	What does the woman do before yell ?smile	What does the woman do before yell ?walk out door furiously	What does the woman do before yell ?start run	What does the woman do before yell ?cut fabric
1 2 TRANS7271 tumblr_na2b8qVQJy1tih0nao1_250 What does the woman do before move to side ?brush a car	What does the woman do before move to side ?wink at camera	What does the woman do before move to side ?dance behind man	What does the woman do before move to side ?drive around curve	What does the woman do before move to side ?skate
0 3 TRANS24526 tumblr_nd59lk8wV51rvlzjoo1_400 What does the woman do after aim ?fold arm	What does the woman do after aim ?nod head	What does the woman do after aim ?lift right hand	What does the woman do after aim ?shoot arrow	What does the woman do after aim ?embrace man
1 3 TRANS26597 tumblr_nbk8k4hX2i1sggdd3o1_250 What does the man with a large hat do before clap ?on ground	What does the man with a large hat do before clap ?cross arm	What does the man with a large hat do before clap ?lower arm	What does the man with a large hat do before clap ?laugh	What does the man with a large hat do before clap ?reach out
3 1 TRANS2118 tumblr_nauh2woNK61tj7htno1_250 What does the boy in green do after stand ?shrug shoulder	What does the boy in green do after stand ?lie on ground	What does the boy in green do after stand ?clench fists	What does the boy in green do after stand ?swerve	What does the boy in green do after stand ?tilt head
1 0 TRANS34090 tumblr_npswm4R1kB1tk15f6o1_400 What does the woman do after sit on fountain ?kiss with a man on a tree	What does the woman do after sit on fountain ?run on beach	What does the woman do after sit on fountain ?stretch hands	What does the woman do after sit on fountain ?carry bucket	What does the woman do after sit on fountain ?change to surf to the right
4 0 TRANS53027 tumblr_n957zdy8uH1rj7jl5o1_500 What does the person do before point hand ?laugh	What does the person do before point hand ?open mouth	What does the person do before point hand ?run hand down leg	What does the person do before point hand ?push weight down	What does the person do before point hand ?close hand
2 1 TRANS40958 tumblr_n9xbvxDMMu1qls9cco1_500 What does the man do after smile ?kiss girl	What does the man do after smile ?raise arm	What does the man do after smile ?straight face	What does the man do after smile ?smile at camera	What does the man do after smile ?flip skateboard
4 1 TRANS33983 tumblr_nailsyrmmY1tcf4azo1_500 What does the man do before get punched in face ?smile	What does the man do before get punched in face ?run	What does the man do before get punched in face ?bite the car's license	What does the man do before get punched in face ?hug tightly	What does the man do before get punched in face ?kiss a woman
3 0 TRANS32664 tumblr_n94cb1ac3r1tgqu05o1_250 What does the man do after stand on hand ?dance	What does the man do after stand on hand ?reach for power cord	What does the man do after stand on hand ?disappear	What does the man do after stand on hand ?point arm	What does the man do after stand on hand ?settle
4 0 TRANS32431 tumblr_na9bbyX3y51tf36dpo3_400 What does the pilot do before take off ?in plane	What does the pilot do before take off ?hug another girl and pose for the camera with her	What does the pilot do before take off ?kick right foot up	What does the pilot do before take off ?shake body	What does the pilot do before take off ?flip
1 2 TRANS31624 tumblr_ne30ri29Kw1teqeajo1_500 What do the man with a white pants do after wrap arm around head ?watch other talk	What do the man with a white pants do after wrap arm around head ?dance	What do the man with a white pants do after wrap arm around head ?lay on ground	What do the man with a white pants do after wrap arm around head ?miss high five	What do the man with a white pants do after wrap arm around head ?bounce on trampoline
3 0 TRANS25386 tumblr_nr9lyoOfEj1rjxehgo1_540 What does the musician do after point fingers in the air ?playing guitar	What does the musician do after point fingers in the air ?lean against wall	What does the musician do after point fingers in the air ?lift finger up	What does the musician do after point fingers in the air ?bend down	What does the musician do after point fingers in the air ?light cigarette
1 2 TRANS39517 tumblr_nark4prC5V1sj6jsio1_400 What does the woman do before spread out arm ?kiss the man	What does the woman do before spread out arm ?walk away	What does the woman do before spread out arm ?adjust sunglasses	What does the woman do before spread out arm ?cry	What does the woman do before spread out arm ?surprise at bill
2 4 TRANS52151 tumblr_ncc1ycDVbj1rijrceo1_500 What does the woman in blue do before kiss other woman ?lay	What does the woman in blue do before kiss other woman ?touch chest	What does the woman in blue do before kiss other woman ?face away from camera	What does the woman in blue do before kiss other woman ?open mouth	What does the woman in blue do before kiss other woman ?ride an elevator
0 1 TRANS23060 tumblr_n9i1feAZnI1slw55qo1_400 What does the man do after hold flare ?flip over	What does the man do after hold flare ?place flare on motorcycle driver	What does the man do after hold flare ?sing on stage	What does the man do after hold flare ?lean in and kiss man	What does the man do after hold flare ?blink eyes
4 1 TRANS24056 tumblr_nbwc4uneyQ1tfb0wao1_400 What does the man do after cry ?fly to the sky	What does the man do after cry ?lean back	What does the man do after cry ?hit chest	What does the man do after cry ?play with ballon	What does the man do after cry ?wave
4 3 TRANS10813 tumblr_njqkzeml8y1unykvpo1_250 What does the dog do before face of shock when see the cupcakes ?straighten up	What does the dog do before face of shock when see the cupcakes ?blink	What does the dog do before face of shock when see the cupcakes ?hop away	What does the dog do before face of shock when see the cupcakes ?stand calmly	What does the dog do before face of shock when see the cupcakes ?ram a lion
4 2 TRANS31679 tumblr_n916q0aCLc1td6onfo1_500 What does the boy in the front of a group do before make a peace sign ?raise hand	What does the boy in the front of a group do before make a peace sign ?run	What does the boy in the front of a group do before make a peace sign ?stare	What does the boy in the front of a group do before make a peace sign ?play with a knife	What does the boy in the front of a group do before make a peace sign ?carry the tire
0 2 TRANS44696 tumblr_nbei4cz8481th1gndo1_400 What does the man in blue do after walk on the sidewalk ?flip card into ace card	What does the man in blue do after walk on the sidewalk ?touch chest	What does the man in blue do after walk on the sidewalk ?stop	What does the man in blue do after walk on the sidewalk ?smile	What does the man in blue do after walk on the sidewalk ?roll eyes
4 3 TRANS37231 tumblr_nognkiz2HI1uvi76ao1_500 What does the man do before turn towards the camera ?kick car	What does the man do before turn towards the camera ?flip skateboard in air	What does the man do before turn towards the camera ?ride a skateboard	What does the man do before turn towards the camera ?spread arms	What does the man do before turn towards the camera ?lift a purse
2 0 TRANS3682 tumblr_nbt4anaFfA1rdtddvo1_250 What does the man do after touch face with hand ?remove hand	What does the man do after touch face with hand ?yawn	What does the man do after touch face with hand ?lean to the right	What does the man do after touch face with hand ?stare	What does the man do after touch face with hand ?laugh
4 0 TRANS39909 tumblr_niu3xmqvkH1qb7ropo1_500 What does the man do before wave both hand ?wave one hand	What does the man do before wave both hand ?pick up	What does the man do before wave both hand ?shoot puck	What does the man do before wave both hand ?walk back	What does the man do before wave both hand ?sit
1 0 TRANS49752 tumblr_ng8yynWpbN1u5tr2io1_250 What does the girl do after touch head ?drop hand	What does the girl do after touch head ?smile	What does the girl do after touch head ?laugh to a man	What does the girl do after touch head ?lie next to baby	What does the girl do after touch head ?talk to two people
4 1 TRANS1511 tumblr_niszs8ZrOk1t17ssjo1_500 What does the woman do before stare straight ?scores goal	What does the woman do before stare straight ?purse lips	What does the woman do before stare straight ?dance	What does the woman do before stare straight ?signal to camera	What does the woman do before stare straight ?pout lips
4 3 TRANS29638 tumblr_njpxf0JW6w1tv3dkjo1_500 What does the man wearing a black jacket and white shirt do after stand with head up ?drink beer	What does the man wearing a black jacket and white shirt do after stand with head up ?hug a man	What does the man wearing a black jacket and white shirt do after stand with head up ?dance	What does the man wearing a black jacket and white shirt do after stand with head up ?turn around	What does the man wearing a black jacket and white shirt do after stand with head up ?pose for picture
4 3 TRANS8363 tumblr_noch808AgN1s5t003o1_400 What does the person with black hair and yellow stick do before start to wave the stick in the air ?wink	What does the person with black hair and yellow stick do before start to wave the stick in the air ?nod head	What does the person with black hair and yellow stick do before start to wave the stick in the air ?crossing hands	What does the person with black hair and yellow stick do before start to wave the stick in the air ?have hand with the stick in the air	What does the person with black hair and yellow stick do before start to wave the stick in the air ?yell
3 4 TRANS10340 tumblr_ne7om7gzgi1tw8vf9o1_400 What does the woman do after bend back body ?clap	What does the woman do after bend back body ?attack cat	What does the woman do after bend back body ?twirl	What does the woman do after bend back body ?sway body	What does the woman do after bend back body ?touch hand to the floor
4 2 TRANS40957 tumblr_n9xbvxDMMu1qls9cco1_500 What does the man do before raise arm ?hit the other boy	What does the man do before raise arm ?run away	What does the man do before raise arm ?smile	What does the man do before raise arm ?kick foot	What does the man do before raise arm ?drop arm down
3 4 TRANS22225 tumblr_n9w68eOVgx1tif07xo1_400 What does the woman do before wave hand ?sing	What does the woman do before wave hand ?on head	What does the woman do before wave hand ?suck on a cigarette	What does the woman do before wave hand ?lean in	What does the woman do before wave hand ?wave stuff animal's paw
0 1 TRANS41936 tumblr_nd48ubIBOA1tv3t72o1_400 What does the woman do after stand still ?raise hand	What does the woman do after stand still ?punch boy	What does the woman do after stand still ?ride away backwards	What does the woman do after stand still ?lie on the gorund	What does the woman do after stand still ?open eye big
3 0 TRANS50861 tumblr_n90sg5l6AP1qfgmtoo1_500 What does the girl do before rest arm on leg ?talk into microphone	What does the girl do before rest arm on leg ?grab man	What does the girl do before rest arm on leg ?blow a bubble	What does the girl do before rest arm on leg ?hand movements	What does the girl do before rest arm on leg ?fall off of car
3 2 TRANS14940 tumblr_ngtjyi5IaW1sgeuwzo1_400 What does the man do after lean forward ?bang head	What does the man do after lean forward ?gesture hand	What does the man do after lean forward ?fall back	What does the man do after lean forward ?thumb up	What does the man do after lean forward ?yell
4 3 TRANS3802 tumblr_ne13ygyzyP1t5ojzdo1_250 What does the woman do after keep hand against the floor ?runs on a race track	What does the woman do after keep hand against the floor ?shrug shoulder	What does the woman do after keep hand against the floor ?inhale smoke from a pipe	What does the woman do after keep hand against the floor ?roll on the floor	What does the woman do after keep hand against the floor ?display cd to screen
1 0 TRANS41302 tumblr_ndtm8zH5Qo1tbmi9ho1_400 What does the man do after stand with back face to the screen ?dance and turn around	What does the man do after stand with back face to the screen ?point arm forward	What does the man do after stand with back face to the screen ?lift head	What does the man do after stand with back face to the screen ?close a box	What does the man do after stand with back face to the screen ?drop it
0 3 TRANS43680 tumblr_nqmrnfJHqY1r9pv19o1_500 What does the man do after look out of a window car ?smile	What does the man do after look out of a window car ?kiss hand	What does the man do after look out of a window car ?straight face	What does the man do after look out of a window car ?raise the window up	What does the man do after look out of a window car ?flip
1 0 TRANS53996 tumblr_nhovl3P5x71rz1804o1_500 What does the man do after hold hand up ?touch camera	What does the man do after hold hand up ?walk back behind it	What does the man do after hold hand up ?run	What does the man do after hold hand up ?stop	What does the man do after hold hand up ?blow kiss
1 2 TRANS36512 tumblr_nrcq7tt1cy1rysgdzo1_500 What does the red-haired woman do after throw something ?lean back	What does the red-haired woman do after throw something ?lift arm	What does the red-haired woman do after throw something ?shoot it	What does the red-haired woman do after throw something ?step forward	What does the red-haired woman do after throw something ?wake up
2 0 TRANS10387 tumblr_naqr8iApeZ1tknp3uo1_250 What does the man do before cover face ?spread arm	What does the man do before cover face ?sway back and forth	What does the man do before cover face ?nod head	What does the man do before cover face ?squint	What does the man do before cover face ?stare straight ahead
1 0 TRANS45268 tumblr_ngu7rlLjP51sa0lndo1_500 What does the man do after walk forward ?smile	What does the man do after walk forward ?run hand through hair	What does the man do after walk forward ?kick ball	What does the man do after walk forward ?drop a cookie	What does the man do after walk forward ?raise arm
3 1 TRANS44919 tumblr_nhl15wkAkP1u6rurco1_400 What does the woman do before wave at camera ?wake up	What does the woman do before wave at camera ?hand by side	What does the woman do before wave at camera ?ride a bike	What does the woman do before wave at camera ?talk	What does the woman do before wave at camera ?jump
1 0 TRANS27350 tumblr_nfpco7YgzP1tqwtb6o1_500 What does the man do after stand ?turn and smile	What does the man do after stand ?dance	What does the man do after stand ?hug man	What does the man do after stand ?lick paw	What does the man do after stand ?drink from cup
4 1 TRANS17152 tumblr_nkn5rr1Hsk1ssmhpzo2_400 What does the woman do after smile ?relax	What does the woman do after smile ?stick out tongue	What does the woman do after smile ?in garage	What does the woman do after smile ?land on ground	What does the woman do after smile ?woman hold two finger up
1 4 TRANS50324 tumblr_nby8nyJjPU1tkpzw0o1_400 What does the alligator do after sit with mouth open ?start bob head	What does the alligator do after sit with mouth open ?step down a stair	What does the alligator do after sit with mouth open ?run toward camera	What does the alligator do after sit with mouth open ?raise head	What does the alligator do after sit with mouth open ?bite a man head
4 3 TRANS22214 tumblr_ng0usjJWj41rebzpvo1_400 What does the man do after look at camera ?lift head	What does the man do after look at camera ?hook a car	What does the man do after look at camera ?kiss the woman's shoulder	What does the man do after look at camera ?become blury	What does the man do after look at camera ?lick lips
3 0 TRANS20681 tumblr_no3fm3Y8ip1un86uao1_500 What does the person do before turn wheel ?remove steer wheel	What does the person do before turn wheel ?kiss girl	What does the person do before turn wheel ?smile	What does the person do before turn wheel ?lean on wall	What does the person do before turn wheel ?laugh
4 1 TRANS3766 tumblr_nac7r67PCz1ttrqwxo1_250 What does the woman do after get surprised by something ?puff on a cigarette	What does the woman do after get surprised by something ?close moth	What does the woman do after get surprised by something ?yawn	What does the woman do after get surprised by something ?deflate cheek	What does the woman do after get surprised by something ?uncover face
4 0 TRANS19548 tumblr_ndaot5SytE1tuzzkvo1_400 What does the man do after put hat on head ?adjust the collar of clothes	What does the man do after put hat on head ?walks away	What does the man do after put hat on head ?rock leg	What does the man do after put hat on head ?stare	What does the man do after put hat on head ?serious look
4 3 TRANS9548 tumblr_neyfonjRiM1rt9t46o1_250 What does the woman do after hit car with stick ?sway body	What does the woman do after hit car with stick ?approach to a soccer ball	What does the woman do after hit car with stick ?shrug shoulder	What does the woman do after hit car with stick ?yell	What does the woman do after hit car with stick ?type
1 2 TRANS28150 tumblr_nnjw9z68lq1u3hgt0o1_250 What does the man do after act like omitting ?cross arm	What does the man do after act like omitting ?open mouth	What does the man do after act like omitting ?shake head	What does the man do after act like omitting ?pass bus	What does the man do after act like omitting ?show heart finger
4 2 TRANS28700 tumblr_nivxmx3mX21u9uwrto1_400 What does the man do after hold a tiny PlayStation on hand ?ride along railroad	What does the man do after hold a tiny PlayStation on hand ?walk	What does the man do after hold a tiny PlayStation on hand ?manipulate a controller	What does the man do after hold a tiny PlayStation on hand ?happy	What does the man do after hold a tiny PlayStation on hand ?got hit by the babel
0 1 TRANS56540 tumblr_nkryq13Fgy1tvfpn9o1_500 What does the man do after look at another man ?touch right hand	What does the man do after look at another man ?walk	What does the man do after look at another man ?blow a kiss	What does the man do after look at another man ?stick out tongue	What does the man do after look at another man ?push other guy
