4 1 TRANS10165 tumblr_na0tm0ReHw1tj7hseo1_250 What does the woman do before talk ?lick lips	What does the woman do before talk ?wave	What does the woman do before talk ?sway on road	What does the woman do before talk ?sniff fire	What does the woman do before talk ?lean forward
0 4 TRANS25750 tumblr_n9iumr0bzO1r3vv1oo1_500 What does the man do after stand ?punch the air with fists	What does the man do after stand ?run around	What does the man do after stand ?beat drum	What does the man do after stand ?blink	What does the man do after stand ?pose something
0 2 TRANS13931 tumblr_nqw4at9cu21sxecxyo1_500 What does the man do before show hook 'em horn sign on a hand ?point to the gas cap	What does the man do before show hook 'em horn sign on a hand ?holds hair	What does the man do before show hook 'em horn sign on a hand ?sing and play guitar	What does the man do before show hook 'em horn sign on a hand ?wrap arm around girl	What does the man do before show hook 'em horn sign on a hand ?narrow eye
1 2 TRANS9168 tumblr_niuqb9DhOU1tjx386o1_250 What does the man do after smile ?shimmy shoulder	What does the man do after smile ?shake head	What does the man do after smile ?open mouth	What does the man do after smile ?fetch ball	What does the man do after smile ?grin
3 1 TRANS29929 tumblr_n9629yoi9z1tb9kmwo1_250 What does the man on right do before grab another man's leg ?reach in bag	What does the man on right do before grab another man's leg ?laugh	What does the man on right do before grab another man's leg ?spread fingers out	What does the man on right do before grab another man's leg ?stretch out arm	What does the man on right do before grab another man's leg ?slide out of the race
2 3 TRANS30794 tumblr_njy7o4JdmP1u2mi4fo1_400 What does the man do after make hand sign ?wait for chain to be cut	What does the man do after make hand sign ?run left	What does the man do after make hand sign ?laugh	What does the man do after make hand sign ?shape a baloon into a dog	What does the man do after make hand sign ?walk to the right
3 0 TRANS15344 tumblr_nf8mgr448W1r4qyf7o1_500 What does the woman do after raise arm ?cover face	What does the woman do after raise arm ?lean to the right	What does the woman do after raise arm ?pause to look at the camera	What does the woman do after raise arm ?yell	What does the woman do after raise arm ?anxious
4 2 TRANS69 tumblr_nqfhegeUAz1uz0hico1_250 What does the man do before turn head ?yawn	What does the man do before turn head ?perk ears	What does the man do before turn head ?cross legs	What does the man do before turn head ?rub the outside of hand	What does the man do before turn head ?pat mouth with hand
4 1 TRANS5345 tumblr_njq0e2SkJy1s3iqbho1_400 What does the man do before pull cover over himself ?convulse	What does the man do before pull cover over himself ?wake up	What does the man do before pull cover over himself ?slide	What does the man do before pull cover over himself ?grin	What does the man do before pull cover over himself ?spray it
1 4 TRANS42876 tumblr_nkk5d5OAP41u6hnr3o1_500 What does the man who is laying on the ground do after lean head back ?raise head	What does the man who is laying on the ground do after lean head back ?run hand through hair	What does the man who is laying on the ground do after lean head back ?have a broad smile	What does the man who is laying on the ground do after lean head back ?point hand	What does the man who is laying on the ground do after lean head back ?kiss
1 0 TRANS20161 tumblr_n94en0BQte1r9m0e9o1_400 What does the woman do before pull horse mask over head ?shake hips	What does the woman do before pull horse mask over head ?in air	What does the woman do before pull horse mask over head ?on the roof	What does the woman do before pull horse mask over head ?open mouth	What does the woman do before pull horse mask over head ?drive from the right
0 3 TRANS11779 tumblr_n93a4l6k7k1tckb34o1_250 What does the woman do before run away ?attack woman	What does the woman do before run away ?wave	What does the woman do before run away ?spit out food	What does the woman do before run away ?look sad	What does the woman do before run away ?land on ground
1 4 TRANS36527 tumblr_nnzz2eyFYT1tvo8x5o1_500 What does the man do before shoot confetti ?lean forward	What does the man do before shoot confetti ?hide on ceiling	What does the man do before shoot confetti ?touch cheek	What does the man do before shoot confetti ?draw finger smile	What does the man do before shoot confetti ?ride in back seat
0 3 TRANS33153 tumblr_nb9zafvwGL1rl5d36o1_500 What does the man do before lower hand ?sing	What does the man do before lower hand ?dig	What does the man do before lower hand ?eat	What does the man do before lower hand ?hand raise behind him	What does the man do before lower hand ?fail to kick a ball
3 1 TRANS26487 tumblr_nq1uexbpw01uwe7nho1_250 What does the woman do before stand up straight ?talking	What does the woman do before stand up straight ?bend over	What does the woman do before stand up straight ?play with the toilet paper	What does the woman do before stand up straight ?talk	What does the woman do before stand up straight ?watch video
1 0 TRANS33724 tumblr_nb5q4l2gK91rixe5zo1_400 What does the man do after scream ?stretch fingers	What does the man do after scream ?kiss a person	What does the man do after scream ?speak	What does the man do after scream ?talk	What does the man do after scream ?talking to someone
1 3 TRANS35480 tumblr_n9vumtfxMq1txd03uo1_400 What does the man do after sing ?lean toward camera	What does the man do after sing ?swing fist	What does the man do after sing ?bend over	What does the man do after sing ?put on a bra	What does the man do after sing ?bounce
3 4 TRANS27809 tumblr_nrf9zjY0WI1tjgql6o1_400 What does the man on left do before play air drum ?lick other cat	What does the man on left do before play air drum ?kiss another man	What does the man on left do before play air drum ?shake right shoulder	What does the man on left do before play air drum ?sing	What does the man on left do before play air drum ?point
2 3 TRANS49533 tumblr_nf54su14bP1re98ito1_500 What does the boy with dyed hair do before drop head to side ?raise a gun up to face	What does the boy with dyed hair do before drop head to side ?step away	What does the boy with dyed hair do before drop head to side ?open eye wide	What does the boy with dyed hair do before drop head to side ?laugh	What does the boy with dyed hair do before drop head to side ?run away
1 3 TRANS40707 tumblr_nf3exsMV8S1qfpmkno1_500 What does the man on the left do before hug a woman ?smile	What does the man on the left do before hug a woman ?kiss a man	What does the man on the left do before hug a woman ?straight face	What does the man on the left do before hug a woman ?raise a guitar	What does the man on the left do before hug a woman ?flip hair
4 2 TRANS32305 tumblr_ndfkplzWvY1r8ici8o1_250 What does the woman do before run away ?breathe heavy and frown	What does the woman do before run away ?lean down	What does the woman do before run away ?hit a zombie	What does the woman do before run away ?speak into mic	What does the woman do before run away ?hide in can
0 1 TRANS25359 tumblr_naj41cmlq11s2l982o1_500 What does the man do before raise glass ?blow smoke from nose	What does the man do before raise glass ?peer over glass	What does the man do before raise glass ?beat a fish	What does the man do before raise glass ?sing	What does the man do before raise glass ?shoot gun
1 0 TRANS654 tumblr_npmjofhX0G1s82japo1_250 What does the person do after look at skyline ?raise arm	What does the person do after look at skyline ?furious	What does the person do after look at skyline ?strum	What does the person do after look at skyline ?sled	What does the person do after look at skyline ?clap hand
0 2 TRANS8807 tumblr_n9iy2q8Dyp1s9lomgo1_250 What does the man do before dance ?shimmy hips	What does the man do before dance ?shake head	What does the man do before dance ?open door	What does the man do before dance ?balance leg	What does the man do before dance ?rub wrist
1 4 TRANS44932 tumblr_nafcozD7p01tzwfnzo1_500 What does the man do after close eye ?kiss	What does the man do after close eye ?shake hair back	What does the man do after close eye ?laugh	What does the man do after close eye ?smile	What does the man do after close eye ?open them
0 4 TRANS40294 tumblr_na3hdtVIP41qd6ugto1_500 What does the boy do after chew ?touch face	What does the boy do after chew ?spin a hat	What does the boy do after chew ?step forward	What does the boy do after chew ?lift arm	What does the boy do after chew ?eat something else
0 3 TRANS22199 tumblr_nomzmxiZJ11uw1xz8o1_400 What does the woman do before grasp at a man ?wear a sunglass	What does the woman do before grasp at a man ?bite tongue	What does the woman do before grasp at a man ?drink from a cup	What does the woman do before grasp at a man ?step back	What does the woman do before grasp at a man ?eat
1 2 TRANS14246 tumblr_nc4s35eZOs1r0xzhao1_500 What does the woman do after stare forward ?practice toe bounce a ball	What does the woman do after stare forward ?raise thumb	What does the woman do after stare forward ?blink	What does the woman do after stare forward ?lower hand	What does the woman do after stare forward ?prepare to jump
4 1 TRANS21284 tumblr_nd5d5qutyb1r6xuado1_400 What does the person with a black jacket do after throw guitar to the air ?fold a finger	What does the person with a black jacket do after throw guitar to the air ?walk away	What does the person with a black jacket do after throw guitar to the air ?punch girl on left	What does the person with a black jacket do after throw guitar to the air ?cover mouth	What does the person with a black jacket do after throw guitar to the air ?wave a hand
4 1 TRANS23863 tumblr_n9hor8PGrA1sk0i2mo1_400 What does the woman who wear a red clothe do before swing elbow toward a woman ?dance	What does the woman who wear a red clothe do before swing elbow toward a woman ?get grabbed by a person	What does the woman who wear a red clothe do before swing elbow toward a woman ?blink	What does the woman who wear a red clothe do before swing elbow toward a woman ?pose arm	What does the woman who wear a red clothe do before swing elbow toward a woman ?twist board
3 2 TRANS34554 tumblr_nen5b9N0QE1twgvowo1_400 What does the woman do after look surprise ?play with smoke	What does the woman do after look surprise ?open eyes	What does the woman do after look surprise ?shake head	What does the woman do after look surprise ?close eyes	What does the woman do after look surprise ?reach out to the man
1 0 TRANS57658 tumblr_no7fsb8yg91ushbvro1_500 What does the man do after close eye ?shake head	What does the man do after close eye ?close	What does the man do after close eye ?run	What does the man do after close eye ?point to the left	What does the man do after close eye ?catch a fish
1 2 TRANS42012 tumblr_nbyl1fxYSb1qi6itio1_250 What does the woman do after move hand ?open cabinet	What does the woman do after move hand ?step into the microphone	What does the woman do after move hand ?laugh	What does the woman do after move hand ?lift arm in the air	What does the woman do after move hand ?drop herself back down
4 2 TRANS35238 tumblr_nihz1vlhvQ1qgnh1wo1_500 What does the singer do after sing a song ?play with dog	What does the singer do after sing a song ?open another door	What does the singer do after sing a song ?shake head vigorously	What does the singer do after sing a song ?close door	What does the singer do after sing a song ?reach with the other hand
4 2 TRANS45377 tumblr_nacqlmg29U1sn53c3o1_500 What does the man do before smile ?start running	What does the man do before smile ?run	What does the man do before smile ?hug a woman	What does the man do before smile ?have hand with the stick in the air	What does the man do before smile ?open mouth wide
3 4 TRANS35678 tumblr_nrhm8reSOg1u66q15o1_400 What does the man do after touch face ?kiss dog	What does the man do after touch face ?bite meat	What does the man do after touch face ?laugh	What does the man do after touch face ?smile	What does the man do after touch face ?set face on fist
1 4 TRANS24317 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do before point forward ?kiss the girl	What does the lady do before point forward ?rock hips	What does the lady do before point forward ?walk on street	What does the lady do before point forward ?man sing	What does the lady do before point forward ?adjust a large doll
0 3 TRANS54320 tumblr_mqo6xutcFO1r5tdi2o1_400 What does the man do after walk backwards ?throw hand up	What does the man do after walk backwards ?shake head	What does the man do after walk backwards ?smile	What does the man do after walk backwards ?open door	What does the man do after walk backwards ?stick out tongue
4 3 TRANS6007 tumblr_nas6imP7Vp1tqwpulo1_250 What does the man do before stretch hand out ?tilt head	What does the man do before stretch hand out ?pounce on a toy	What does the man do before stretch hand out ?film the woman's torso	What does the man do before stretch hand out ?squat	What does the man do before stretch hand out ?playing guitar
3 1 TRANS33150 tumblr_nbbwerXfuY1sjt7a5o1_500 What does the guitarist do after play guitar ?scream	What does the guitarist do after play guitar ?step away from camera	What does the guitarist do after play guitar ?bite lip	What does the guitarist do after play guitar ?sing	What does the guitarist do after play guitar ?eat something
2 3 TRANS30761 tumblr_ncucg1HZfU1twn2sfo1_400 What does the man do before step back ?watch an animal	What does the man do before step back ?slide downward	What does the man do before step back ?looks back	What does the man do before step back ?raise hand	What does the man do before step back ?inside car
1 4 TRANS8844 tumblr_nk6u7h2I8Z1saeojro1_400 What does the man do after stare ?hover by the fire	What does the man do after stare ?drink	What does the man do after stare ?smoke	What does the man do after stare ?shrug shoulder	What does the man do after stare ?step back
2 1 TRANS21451 tumblr_nay84a39Un1tgr5e4o1_100 What does the man do before pose ?stare someone	What does the man do before pose ?dry hair	What does the man do before pose ?nod head	What does the man do before pose ?leap over the pile of players	What does the man do before pose ?embrace another woman
4 3 TRANS58350 tumblr_n069vwZcxH1sli2hso1_500 What does the man do after smile ?stick paw out window	What does the man do after smile ?smile	What does the man do after smile ?pick up a coin	What does the man do after smile ?raise fist	What does the man do after smile ?look sneaky
1 2 TRANS14455 tumblr_ms4kvoOQeL1rgryh8o1_500 What does the woman in red do before take mask off ?kiss the rodent	What does the woman in red do before take mask off ?pushes glasses	What does the woman in red do before take mask off ?have mask	What does the woman in red do before take mask off ?sits still	What does the woman in red do before take mask off ?bend over
4 2 TRANS1470 tumblr_nk9knh1M1X1u9xtf5o1_400 What does the man do after hold the present ?grimace	What does the man do after hold the present ?freeze	What does the man do after hold the present ?dance	What does the man do after hold the present ?lower hand	What does the man do after hold the present ?wipe himself with shirt
2 3 TRANS31199 tumblr_ni0wm1MHqZ1s6zpepo1_250 What does the man do before hold that guy's leg ?scream at camera	What does the man do before hold that guy's leg ?spin	What does the man do before hold that guy's leg ?slap man	What does the man do before hold that guy's leg ?help other guy sit in a bassinet	What does the man do before hold that guy's leg ?kiss boy
2 0 TRANS22241 tumblr_ne4c3hRuqZ1sm50zqo1_500 What does the woman do before smile ?raise arm	What does the woman do before smile ?rock back	What does the woman do before smile ?stare to side	What does the woman do before smile ?snap finger	What does the woman do before smile ?blink
1 0 TRANS56516 tumblr_nauohdXxUf1r3qv9to1_400 What does the woman do after look ahead ?speak	What does the woman do after look ahead ?grab shade	What does the woman do after look ahead ?run into car	What does the woman do after look ahead ?stick paw out window	What does the woman do after look ahead ?throw a bag of acidic salt
2 1 TRANS16387 tumblr_niuemozTpw1qcl50bo1_400 What does the woman do before move the bottle ?hop away	What does the woman do before move the bottle ?close a bottle	What does the woman do before move the bottle ?chew nail	What does the woman do before move the bottle ?whip head forward	What does the woman do before move the bottle ?brush dog's teeth
0 1 TRANS33373 tumblr_nhq77je8AI1rku1hfo1_400 What does the guy do before keep walk ?lean in	What does the guy do before keep walk ?stop	What does the guy do before keep walk ?bounce	What does the guy do before keep walk ?touch neck	What does the guy do before keep walk ?swing arm
0 2 TRANS28307 tumblr_ni2gaft02A1u3mx44o1_250 What does the man do before hit with head ?show a page	What does the man do before hit with head ?eye open	What does the man do before hit with head ?throw item up	What does the man do before hit with head ?smile slowly	What does the man do before hit with head ?pose
2 4 TRANS52151 tumblr_ncc1ycDVbj1rijrceo1_500 What does the woman in blue do before kiss other woman ?lay	What does the woman in blue do before kiss other woman ?touch chest	What does the woman in blue do before kiss other woman ?face away from camera	What does the woman in blue do before kiss other woman ?open mouth	What does the woman in blue do before kiss other woman ?ride an elevator
0 3 TRANS34352 tumblr_nca11jFXRI1qhb3vzo1_500 What does the drummer do after stare ?disappear	What does the drummer do after stare ?open mouth	What does the drummer do after stare ?hide	What does the drummer do after stare ?beat drum	What does the drummer do after stare ?slide down stairs
3 2 TRANS12447 tumblr_ncusywWoFr1skzykeo1_250 What does the man on right do before raise right hand ?cover face	What does the man on right do before raise right hand ?score a goal	What does the man on right do before raise right hand ?stare down	What does the man on right do before raise right hand ?form a peace sign with a hand	What does the man on right do before raise right hand ?receive a hat
4 0 TRANS58054 tumblr_naxjabeSW11t2s1j1o1_500 What does the man in hat do after face camera ?raise fist	What does the man in hat do after face camera ?smile	What does the man in hat do after face camera ?pick up a paper	What does the man in hat do after face camera ?stick out tongue	What does the man in hat do after face camera ?look right
4 1 TRANS47791 tumblr_neddm7VXxe1u2b0jwo1_400 What does the kitten do before pause to look at the camera ?touch hair	What does the kitten do before pause to look at the camera ?crawl along the ground	What does the kitten do before pause to look at the camera ?point at girl behind	What does the kitten do before pause to look at the camera ?say something	What does the kitten do before pause to look at the camera ?give thumb up
1 2 TRANS194 tumblr_nl1qwlz8xh1qzikwgo1_500 What does the woman do after wave hand ?cough	What does the woman do after wave hand ?wave	What does the woman do after wave hand ?leave from the screen	What does the woman do after wave hand ?nod	What does the woman do after wave hand ?zip out lips
0 3 TRANS25522 tumblr_nprc5voJsi1totisro1_500 What does the man do after look behind ?answer call	What does the man do after look behind ?smoke	What does the man do after look behind ?talk to woman	What does the man do after look behind ?swing to hit a person	What does the man do after look behind ?kill that fish
3 2 TRANS9083 tumblr_nkwt37F8kL1smtsipo1_400 What does the woman do before stick out tongue ?backflips	What does the woman do before stick out tongue ?wink	What does the woman do before stick out tongue ?stare	What does the woman do before stick out tongue ?raise shoulder	What does the woman do before stick out tongue ?crash on bench
0 4 TRANS41024 tumblr_nioqfprXtM1u1ok9so1_400 What does the man do after cover face ?touch face	What does the man do after cover face ?smile	What does the man do after cover face ?kiss woman	What does the man do after cover face ?shake head once	What does the man do after cover face ?run finger through hair
2 1 TRANS8296 tumblr_nhmuiozIZa1u6k7wlo1_400 What does the man do after look at camera ?guitar behind back	What does the man do after look at camera ?raise eyebrows	What does the man do after look at camera ?flap arm	What does the man do after look at camera ?exhale smoke	What does the man do after look at camera ?dive
2 1 TRANS2218 tumblr_njxgjz9Wjv1qanpfzo1_250 What does the woman do after push hand ?stomp foot	What does the woman do after push hand ?slide on the snow	What does the woman do after push hand ?raise arm	What does the woman do after push hand ?wiggle lips	What does the woman do after push hand ?submerge face in water
0 2 TRANS32554 tumblr_nb2mbwe4XI1rfbfb1o1_400 What does the person do after move from the foothill ?fail to land correctly	What does the person do after move from the foothill ?hide behind screen	What does the person do after move from the foothill ?ride up	What does the person do after move from the foothill ?touch chin by a hand	What does the person do after move from the foothill ?draw two eye with pancake batter
4 2 TRANS31250 tumblr_na0s23vugd1sft9vjo1_250 What does the woman do after stare at a man ?lean over	What does the woman do after stare at a man ?smile	What does the woman do after stare at a man ?throw book to the ground	What does the woman do after stare at a man ?begin singing	What does the woman do after stare at a man ?slowly turn head around
0 4 TRANS42478 tumblr_nqn3tqmbjc1souwjko1_400 What does the black man do after show object ?touch hand with the other boy	What does the black man do after show object ?spin in arm	What does the black man do after show object ?step forward	What does the black man do after show object ?lift hand up	What does the black man do after show object ?eat object
4 2 TRANS55367 tumblr_nau25zCJpy1tee2zqo1_500 What does the man on center do before get covered by others ?talk	What does the man on center do before get covered by others ?smile	What does the man on center do before get covered by others ?pull shirt up	What does the man on center do before get covered by others ?walk to front of stage	What does the man on center do before get covered by others ?face each other
2 4 TRANS46052 tumblr_nduyhsKaEd1tqd3ieo1_500 What does the man do after blow smoke ?laugh	What does the man do after blow smoke ?talk into microphone	What does the man do after blow smoke ?kiss other guy	What does the man do after blow smoke ?happy	What does the man do after blow smoke ?stretch arm
2 0 TRANS6625 tumblr_nivav8EGuz1sdv4q6o1_500 What does the man do before smile ?talk	What does the man do before smile ?tilt head	What does the man do before smile ?pout	What does the man do before smile ?salute	What does the man do before smile ?finger hair
3 0 TRANS48863 tumblr_ngr167mT8j1tuuziuo1_400 What does the man do before blow kiss ?stick tongue out	What does the man do before blow kiss ?raise eyebrows	What does the man do before blow kiss ?open eye slowly	What does the man do before blow kiss ?smile	What does the man do before blow kiss ?close mouth
3 2 TRANS14144 tumblr_n8xaa8ScfH1rhhof0o1_500 What does the lady do after lick spoon ?smash the phone	What does the lady do after lick spoon ?scare	What does the lady do after lick spoon ?lower spoon	What does the lady do after lick spoon ?spit out pacifier	What does the lady do after lick spoon ?dance
2 4 TRANS50015 tumblr_n8tie8OOhC1tfj40ro1_400 What does the human do before raise hand ?open eye	What does the human do before raise hand ?point face	What does the human do before raise hand ?run	What does the human do before raise hand ?step forward	What does the human do before raise hand ?sing
2 0 TRANS13067 tumblr_ndnukojLjK1sx7rvmo1_400 What does the girl do before put down hand ?shake hand over the head	What does the girl do before put down hand ?on track	What does the girl do before put down hand ?open hand	What does the girl do before put down hand ?cover face	What does the girl do before put down hand ?feed cake
2 3 TRANS36117 tumblr_nc8b7fU5a11s0svh1o1_500 What does the kitten do before get pushed over ?step into a room	What does the kitten do before get pushed over ?hit woman in the head	What does the kitten do before get pushed over ?reach for something	What does the kitten do before get pushed over ?wear a hat	What does the kitten do before get pushed over ?raise arms
2 1 TRANS17726 tumblr_nguqs8FM591twesudo1_400 What does the woman do after kiss ?race on the road	What does the woman do after kiss ?thumb up	What does the woman do after kiss ?fall down	What does the woman do after kiss ?prepare a makeup	What does the woman do after kiss ?run into door
1 4 TRANS34692 tumblr_nk4svrV1uI1rde1vuo1_500 What does the man do after talk to woman ?looking at camera	What does the man do after talk to woman ?close eye	What does the man do after talk to woman ?speak	What does the man do after talk to woman ?walk forward	What does the man do after talk to woman ?roll chair around
1 0 TRANS44369 tumblr_nr1qx68R9Q1uulsvio1_400 What does the dark haired man do before shout ?lean forward	What does the dark haired man do before shout ?stop	What does the dark haired man do before shout ?wait for ball	What does the dark haired man do before shout ?place behind door	What does the dark haired man do before shout ?catch a ball
0 3 TRANS38384 tumblr_nbyoe60gY11tgway4o1_400 What does the man do after touch face ?reach for woman	What does the man do after touch face ?open pin	What does the man do after touch face ?close mouth	What does the man do after touch face ?shake	What does the man do after touch face ?run
1 0 TRANS52722 tumblr_n9lzhnrgIz1ti7ge2o2_500 What does the woman do after look down ?raise head up	What does the woman do after look down ?smile	What does the woman do after look down ?touch ipad	What does the woman do after look down ?pick nose	What does the woman do after look down ?stick tongue out
2 0 TRANS17470 tumblr_natv2nEoY61thpfzwo1_400 What does the woman do after look downward ?flip hair	What does the woman do after look downward ?attack a competitor	What does the woman do after look downward ?serious look	What does the woman do after look downward ?spread arm out	What does the woman do after look downward ?perform backflip
0 1 TRANS33425 tumblr_nklw53j39a1r73l22o1_400 What does the man do before start jump ?sing	What does the man do before start jump ?point with one hand	What does the man do before start jump ?shake head	What does the man do before start jump ?kiss someone	What does the man do before start jump ?breathe
0 1 TRANS11783 tumblr_nijs54Y2VP1u0w4yoo1_250 What does the man do before say something ?glance at something	What does the man do before say something ?raise arm	What does the man do before say something ?punch girl in face	What does the man do before say something ?blank face	What does the man do before say something ?sits on leaf
1 4 TRANS40709 tumblr_n9jww1Tbcq1t7f0qno1_500 What does the man do before touch a woman's fist ?flip in air	What does the man do before touch a woman's fist ?kiss	What does the man do before touch a woman's fist ?straight face	What does the man do before touch a woman's fist ?smile	What does the man do before touch a woman's fist ?raise arm
4 1 TRANS10490 tumblr_ncwg9lrvsc1t3ghero1_250 What do the eyes do after open ?paw toy	What do the eyes do after open ?blink	What do the eyes do after open ?sneeze	What do the eyes do after open ?groom itself	What do the eyes do after open ?cup face
3 1 TRANS30342 tumblr_nevmqvdK1X1u2zl3eo1_400 What does the man do after cross the river ?lift a black object	What does the man do after cross the river ?fight	What does the man do after cross the river ?slide under dog	What does the man do after cross the river ?slip on ground	What does the man do after cross the river ?fill with cub
4 1 TRANS1511 tumblr_niszs8ZrOk1t17ssjo1_500 What does the woman do before stare straight ?scores goal	What does the woman do before stare straight ?purse lips	What does the woman do before stare straight ?dance	What does the woman do before stare straight ?signal to camera	What does the woman do before stare straight ?pout lips
0 2 TRANS39082 tumblr_nca2zmXP3d1slj978o1_400 What does the cat do after look at iPad ?eat	What does the cat do after look at iPad ?ride a turtle	What does the cat do after look at iPad ?touch ipad	What does the cat do after look at iPad ?raise arm	What does the cat do after look at iPad ?walk to a man
3 1 TRANS27916 tumblr_naj9smLJW61tb2khbo1_250 What does the man do after walk ?punch	What does the man do after walk ?lie down	What does the man do after walk ?drag head on ground	What does the man do after walk ?hit car	What does the man do after walk ?fix tie
4 1 TRANS19590 tumblr_nftwuicUUR1rmlxeco1_400 What does the woman do after wave hand ?yell in agony	What does the woman do after wave hand ?cover mouth	What does the woman do after wave hand ?lean in	What does the woman do after wave hand ?calm face	What does the woman do after wave hand ?laugh
4 2 TRANS28832 tumblr_npw5hmxHZ21tbfrz9o1_540 What does the woman in red scarf do after nod head ?watch	What does the woman in red scarf do after nod head ?play a drum	What does the woman in red scarf do after nod head ?lean forward	What does the woman in red scarf do after nod head ?sing	What does the woman in red scarf do after nod head ?show sign of peace
0 3 TRANS35237 tumblr_nihz1vlhvQ1qgnh1wo1_500 What does the singer do before shake head vigorously ?lean into guy's ear	What does the singer do before shake head vigorously ?point with a banana	What does the singer do before shake head vigorously ?drop a liquid	What does the singer do before shake head vigorously ?sing a song	What does the singer do before shake head vigorously ?run
3 0 TRANS45153 tumblr_no6bzf5Th51t33lqpo1_500 What does the woman do before walk behind the door ?wave	What does the woman do before walk behind the door ?pick up and eat poop	What does the woman do before walk behind the door ?walk on a desk	What does the woman do before walk behind the door ?sit in chair	What does the woman do before walk behind the door ?laugh
0 2 TRANS888 tumblr_nprkfzdYJ71rfwqzdo1_250 What does the man do after turn around ?attack man	What does the man do after turn around ?perch on fridge	What does the man do after turn around ?drink from cup	What does the man do after turn around ?vanish	What does the man do after turn around ?scoot back on bench
2 4 TRANS50324 tumblr_nby8nyJjPU1tkpzw0o1_400 What does the alligator do after sit with mouth open ?start bob head	What does the alligator do after sit with mouth open ?step down a stair	What does the alligator do after sit with mouth open ?run toward camera	What does the alligator do after sit with mouth open ?raise head	What does the alligator do after sit with mouth open ?bite a man head
3 0 TRANS1512 tumblr_niszs8ZrOk1t17ssjo1_500 What does the woman do after purse lips ?stare straight	What does the woman do after purse lips ?cling to ceiling	What does the woman do after purse lips ?prop foot up	What does the woman do after purse lips ?raise head up	What does the woman do after purse lips ?collapse instead
1 3 TRANS17689 tumblr_n9qkj542Iv1r1a79vo1_400 What does the man do before point arm ?stare off the porch	What does the man do before point arm ?brush hair	What does the man do before point arm ?remove the cup from mouth	What does the man do before point arm ?hit chest	What does the man do before point arm ?embrace friend
0 3 TRANS39851 tumblr_nekkoo8eQO1r967ipo1_500 What does the man do before look forward ?point	What does the man do before look forward ?run	What does the man do before look forward ?have a hole	What does the man do before look forward ?kiss girl	What does the man do before look forward ?raise hand and point
0 1 TRANS39500 tumblr_no10vficIX1upqym3o1_400 What does the girl do after pose on a rock ?step the the right	What does the girl do after pose on a rock ?laugh	What does the girl do after pose on a rock ?open arm	What does the girl do after pose on a rock ?lift head	What does the girl do after pose on a rock ?drop arm down
3 0 TRANS46927 tumblr_n8tdp9KZ8d1sp72gno1_500 What does the woman do before turn head ?stand	What does the woman do before turn head ?kiss man	What does the woman do before turn head ?kick rival	What does the woman do before turn head ?smile	What does the woman do before turn head ?blow it out
2 4 TRANS4000 tumblr_nkkppg69N71u8aep9o1_250 What does the man do after grab canister ?yawn	What does the man do after grab canister ?puff out cheek	What does the man do after grab canister ?shake head	What does the man do after grab canister ?nod at woman	What does the man do after grab canister ?open canister
2 4 TRANS30629 tumblr_ndlhwgX2fm1tm15nlo1_400 What does the cat do before bite person's hand ?slap	What does the cat do before bite person's hand ?scream	What does the cat do before bite person's hand ?lean on refrigerator	What does the cat do before bite person's hand ?flip skateboard	What does the cat do before bite person's hand ?place paw on person's hand
3 4 TRANS3692 tumblr_ncoxe7Pzl11t0ojyvo1_250 What does the man on the left do after walk out ?puff cigarette	What does the man on the left do after walk out ?enter a room via window	What does the man on the left do after walk out ?gasp	What does the man on the left do after walk out ?cover face	What does the man on the left do after walk out ?wave
1 2 TRANS17710 tumblr_nd00a2dHuw1ryusrfo1_400 What does the man do after look at camera ?brought out a dog	What does the man do after look at camera ?laugh	What does the man do after look at camera ?flex muscle	What does the man do after look at camera ?talk	What does the man do after look at camera ?yell
3 2 TRANS17439 tumblr_nfwsbaUqdU1tkqyuyo1_400 What does the girl on left do before smile ?dance	What does the girl on left do before smile ?talk with a person with ne label	What does the girl on left do before smile ?brush hair	What does the girl on left do before smile ?nod head	What does the girl on left do before smile ?play guitar
0 3 TRANS19714 tumblr_nqwmhysJ721ua5q7mo1_500 What does the man in hat do after lean on rail ?dance on counter	What does the man in hat do after lean on rail ?sing	What does the man in hat do after lean on rail ?lick lips	What does the man in hat do after lean on rail ?point	What does the man in hat do after lean on rail ?shake body
4 0 TRANS44398 tumblr_nprpm1WJLb1uxtn9jo1_400 What does the fox do after jump ?face first in snow	What does the fox do after jump ?ride skateboard towards wall	What does the fox do after jump ?run	What does the fox do after jump ?throw it	What does the fox do after jump ?jump
0 4 TRANS55585 tumblr_ng1jgl7aMz1slj978o1_400 What does the frog do before touch its tongue by two hand ?touch another kid's leg	What does the frog do before touch its tongue by two hand ?smile	What does the frog do before touch its tongue by two hand ?face forward	What does the frog do before touch its tongue by two hand ?lay down forward	What does the frog do before touch its tongue by two hand ?try to catch tongue to a dragonfly
1 0 TRANS6537 tumblr_nhbwfjkIRX1u6q9r2o1_250 What does the woman do before hold cigarette away from face ?smoke	What does the woman do before hold cigarette away from face ?inhale	What does the woman do before hold cigarette away from face ?pout	What does the woman do before hold cigarette away from face ?nod head	What does the woman do before hold cigarette away from face ?straddle the beam
