0 1 TRANS24492 tumblr_nbjsyhLncl1tujnioo1_500 What does the man do after look serious ?step back	What does the man do after look serious ?drink from a glass	What does the man do after look serious ?wave hand around	What does the man do after look serious ?slide on two wheels	What does the man do after look serious ?cross road
4 1 TRANS37234 tumblr_nork2uhJ4J1u0ed8wo1_500 What does the man on the right in a purple uniform do after run to the left ?looking down	What does the man on the right in a purple uniform do after run to the left ?shove another man	What does the man on the right in a purple uniform do after run to the left ?stay under screen	What does the man on the right in a purple uniform do after run to the left ?place something on a shelf	What does the man on the right in a purple uniform do after run to the left ?have squint face
4 2 TRANS29093 tumblr_no7f3olx4g1s373hwo1_400 What does the man do before lean against the counter ?sing into microphone	What does the man do before lean against the counter ?smile	What does the man do before lean against the counter ?drop a plate	What does the man do before lean against the counter ?dance	What does the man do before lean against the counter ?pose for the camera
4 1 TRANS31711 tumblr_naxep6N7nq1td6onfo1_500 What does the man do before destroy a piano ?open mouth	What does the man do before destroy a piano ?spin a stick	What does the man do before destroy a piano ?looking down	What does the man do before destroy a piano ?hug someone	What does the man do before destroy a piano ?sing a song
4 2 TRANS28514 tumblr_nch7clLs5L1tmllzbo1_250 What does the man do after open door ?climb on horse	What does the man do after open door ?run	What does the man do after open door ?smile	What does the man do after open door ?pass the ball to other player	What does the man do after open door ?cross arms
1 4 TRANS15343 tumblr_nf8mgr448W1r4qyf7o1_500 What does the woman do before cover face ?smooth descent	What does the woman do before cover face ?stare	What does the woman do before cover face ?blink eyes	What does the woman do before cover face ?lick lips	What does the woman do before cover face ?raise arm
0 4 TRANS25988 tumblr_ndw0bzvkNg1tdhj6ro1_400 What does the mascot do after shake head ?suck thumb	What does the mascot do after shake head ?stay still	What does the mascot do after shake head ?lean on wall	What does the mascot do after shake head ?stare something	What does the mascot do after shake head ?wave arm
2 0 TRANS56848 tumblr_n9q0wbAvnk1slorlzo1_400 What does the man do after turn around ?smile	What does the man do after turn around ?run	What does the man do after turn around ?throw a keg	What does the man do after turn around ?push other man	What does the man do after turn around ?jump with skateboard
1 3 TRANS37636 tumblr_ndy7ccfmXN1rfibsxo1_400 What does the doll do after stand ?ride on a bike	What does the doll do after stand ?walk	What does the doll do after stand ?looking down	What does the doll do after stand ?explode	What does the doll do after stand ?step into water
4 2 TRANS19038 tumblr_n9a9aqzQdp1saga3vo1_400 What does the man do after tongue out ?hit mom	What does the man do after tongue out ?extend hand outward	What does the man do after tongue out ?smiling	What does the man do after tongue out ?run on floor	What does the man do after tongue out ?cover mouth
2 0 TRANS52912 tumblr_nd4y9cyuiJ1tqyrjvo1_400 What does the left man do after lower arm ?bend forward	What does the left man do after lower arm ?talk	What does the left man do after lower arm ?start laugh	What does the left man do after lower arm ?say something	What does the left man do after lower arm ?still
4 2 TRANS7111 tumblr_n9gl73jiW11si92i8o1_500 What does the man do before touch cheek ?skate	What does the man do before touch cheek ?look out window	What does the man do before touch cheek ?stroke chin	What does the man do before touch cheek ?tilt head	What does the man do before touch cheek ?talk into microphone
3 0 TRANS51205 tumblr_nek7op2Sfd1u31i4ao1_400 What does the boy in white shirt on right do before hug girl ?talk to girl	What does the boy in white shirt on right do before hug girl ?grab microphone	What does the boy in white shirt on right do before hug girl ?blow a kiss	What does the boy in white shirt on right do before hug girl ?hand hold up	What does the boy in white shirt on right do before hug girl ?fall down
0 1 TRANS34080 tumblr_nkm1jpxtCI1tux4fao1_400 What does the man do after smash cone on head ?smile	What does the man do after smash cone on head ?pump arm	What does the man do after smash cone on head ?speak	What does the man do after smash cone on head ?surprise	What does the man do after smash cone on head ?surprised by something
3 1 TRANS4024 tumblr_nezdwodIKQ1r8cauwo1_250 What does the guy do after lift hand ?prowl towards other cat	What does the guy do after lift hand ?cover face with shirt	What does the guy do after lift hand ?reel in shock	What does the guy do after lift hand ?lean out of window	What does the guy do after lift hand ?dangle from rope
1 2 TRANS51654 tumblr_nd2yltfEa81tdjuqvo1_400 What does the woman do after pick up hand bag ?blow kiss	What does the woman do after pick up hand bag ?touch door	What does the woman do after pick up hand bag ?walk away	What does the woman do after pick up hand bag ?shake head	What does the woman do after pick up hand bag ?stick out tongue
2 0 TRANS25646 tumblr_nhjoyzQcjX1shw3clo1_400 What does the man do after look at ornament ?adjust ornament	What does the man do after look at ornament ?rock upward	What does the man do after look at ornament ?man move eye back and forth	What does the man do after look at ornament ?walk	What does the man do after look at ornament ?kiss the woman
2 0 TRANS19941 tumblr_n930rehOiH1t3eg01o1_400 What does the girl with long hair do before play with dog ?open mouth	What does the girl with long hair do before play with dog ?fade to black	What does the girl with long hair do before play with dog ?shake a doll	What does the girl with long hair do before play with dog ?shock	What does the girl with long hair do before play with dog ?skip leg
4 2 TRANS6166 tumblr_n98zl74VxN1thm6gzo1_250 What does the man do after lick lips ?points to somewhere	What does the man do after lick lips ?somersault on the air	What does the man do after lick lips ?lean in to listen	What does the man do after lick lips ?pour gas on window	What does the man do after lick lips ?hit eye with hand
2 3 TRANS19589 tumblr_nftwuicUUR1rmlxeco1_400 What does the woman do before cover mouth ?rub neck	What does the woman do before cover mouth ?lean forward	What does the woman do before cover mouth ?eat something	What does the woman do before cover mouth ?wave hand	What does the woman do before cover mouth ?tie string
4 3 TRANS50487 tumblr_nbz9evJpXZ1tgqwj8o1_250 What does the woman do before blink rapidly ?smile	What does the woman do before blink rapidly ?shake head	What does the woman do before blink rapidly ?laugh	What does the woman do before blink rapidly ?close eye	What does the woman do before blink rapidly ?stick tongue out
0 2 TRANS4253 tumblr_nesclcGLHY1subulvo1_250 What does the man do before smile ?pour granules into it	What does the man do before smile ?walks	What does the man do before smile ?cover face with a hand	What does the man do before smile ?runs on a race track	What does the man do before smile ?dangle feet
3 4 TRANS35535 tumblr_ncbrd1GZox1s71nvbo1_500 What does the bird do before lift wing ?looking serious	What does the bird do before lift wing ?close fist	What does the bird do before lift wing ?speak	What does the bird do before lift wing ?walk on ground	What does the bird do before lift wing ?roll down hill
0 2 TRANS8412 tumblr_nbw09yHJDi1ti7sj0o1_400 What does the woman in horse mask do after dance ?kiss girl on cheek	What does the woman in horse mask do after dance ?shake head	What does the woman in horse mask do after dance ?point	What does the woman in horse mask do after dance ?lick himself	What does the woman in horse mask do after dance ?tumble in the air
4 0 TRANS51833 tumblr_nb1108xDwG1slsl6ro1_500 What does the man do before give a puzzle look ?look down	What does the man do before give a puzzle look ?raise left hand up	What does the man do before give a puzzle look ?shake hand	What does the man do before give a puzzle look ?throw lighter	What does the man do before give a puzzle look ?blow a kiss
1 4 TRANS25600 tumblr_ndw164NVKb1slj978o1_400 What does the man do after look at man ?sign	What does the man do after look at man ?follow other girl	What does the man do after look at man ?raise eyebrows	What does the man do after look at man ?continue to stand in the rain	What does the man do after look at man ?butt head
1 2 TRANS18104 tumblr_nbhensx8fu1rj259ko1_400 What does the girl do after sing ?cover mouth	What does the girl do after sing ?high-fives another person	What does the girl do after sing ?nod head	What does the girl do after sing ?fly off the mattress	What does the girl do after sing ?trap a ball
4 3 TRANS54433 tumblr_ncczjfdwFt1tav0gmo1_500 What does the man do before stretch out arms ?blow smoke	What does the man do before stretch out arms ?shake shoulder	What does the man do before stretch out arms ?throw a book	What does the man do before stretch out arms ?look calm	What does the man do before stretch out arms ?push a forklift
4 0 TRANS32272 tumblr_neua43pKJC1t0kntqo1_250 What does the yellow thing do after dance ?wave	What does the yellow thing do after dance ?lean toward man on right	What does the yellow thing do after dance ?eat something	What does the yellow thing do after dance ?stay the same	What does the yellow thing do after dance ?play instrument and walk
0 2 TRANS38734 tumblr_ngnfjchNR91tlfgv0o1_400 What does the man do after stand still ?point	What does the man do after stand still ?reach hand out	What does the man do after stand still ?dance toward left	What does the man do after stand still ?lift flour	What does the man do after stand still ?close
4 0 TRANS3682 tumblr_nbt4anaFfA1rdtddvo1_250 What does the man do after touch face with hand ?remove hand	What does the man do after touch face with hand ?yawn	What does the man do after touch face with hand ?lean to the right	What does the man do after touch face with hand ?stare	What does the man do after touch face with hand ?laugh
1 2 TRANS9430 tumblr_nol6jnzK9a1t95h1uo1_400 What does the hedgehog do after walking the floor ?shrug	What does the hedgehog do after walking the floor ?stare	What does the hedgehog do after walking the floor ?hit few pins	What does the hedgehog do after walking the floor ?lean forward	What does the hedgehog do after walking the floor ?hair loose
3 2 TRANS14717 tumblr_ndjky04H2x1ttuja3o1_250 What do the guy with glasses do before grab woman's head ?lower arm	What do the guy with glasses do before grab woman's head ?speed off and turn around in the road	What do the guy with glasses do before grab woman's head ?pretend to kiss hand	What do the guy with glasses do before grab woman's head ?lift weight	What do the guy with glasses do before grab woman's head ?wave hand
4 2 TRANS12206 tumblr_nie80c2ukN1tfcayso1_250 What does the woman do after look at president snow ?raise head up	What does the woman do after look at president snow ?please	What does the woman do after look at president snow ?burst into flame	What does the woman do after look at president snow ?talk into microphone	What does the woman do after look at president snow ?pet dog
3 2 TRANS58519 tumblr_ngxch41oJy1tkjmmko1_500 What does the woman do before move hand ?walk to another man	What does the woman do before move hand ?smile	What does the woman do before move hand ?put leg out	What does the woman do before move hand ?jump skateboard	What does the woman do before move hand ?fall down
1 0 TRANS30875 tumblr_neko3rdy1l1s1pgzio1_500 What does the man on left do before spit out substance ?pump fist	What does the man on left do before spit out substance ?smile	What does the man on left do before spit out substance ?speak seriously	What does the man on left do before spit out substance ?talk with serious face	What does the man on left do before spit out substance ?surprise baby
4 0 TRANS21107 tumblr_ndt8izVm3e1u1pi4oo1_400 What does the man do before smile ?tongue rub against teeth	What does the man do before smile ?start jump	What does the man do before smile ?drive away	What does the man do before smile ?looking down	What does the man do before smile ?play with hair
1 0 TRANS28889 tumblr_n9769ytMjb1rmykdao1_400 What does the man in a suit do before swing fist ?hug a man on ground	What does the man in a suit do before swing fist ?run downhill	What does the man in a suit do before swing fist ?become calm	What does the man in a suit do before swing fist ?change to point finger with left hand	What does the man in a suit do before swing fist ?show satisfy
2 0 TRANS21669 tumblr_ncl7d2DRMe1qbv408o1_r1_400 What does the person with moon mask do before roll forward with piano ?lean back	What does the person with moon mask do before roll forward with piano ?enter an intersection	What does the person with moon mask do before roll forward with piano ?play with hair	What does the person with moon mask do before roll forward with piano ?attempt to hit other guy with a piece of wood	What does the person with moon mask do before roll forward with piano ?wave
0 3 TRANS8713 tumblr_nca4fq9EnX1td804io1_250 What does the man do before stare ?frown	What does the man do before stare ?wink	What does the man do before stare ?thrust hips	What does the man do before stare ?mock with lips	What does the man do before stare ?parse lips
4 2 TRANS6017 tumblr_ncap7ix7eJ1thbgs3o1_250 What does the panda do before fall off tree ?hug another man	What does the panda do before fall off tree ?wink	What does the panda do before fall off tree ?adjust butt	What does the panda do before fall off tree ?sling to ground	What does the panda do before fall off tree ?ram little boy twice
3 4 TRANS29690 tumblr_nfy1xhvjZC1th1z7ro1_400 What does the guy on left do after fix hair ?hug another girl	What does the guy on left do after fix hair ?man	What does the guy on left do after fix hair ?dance	What does the guy on left do after fix hair ?kiss the girl	What does the guy on left do after fix hair ?adjust sunglasses
4 0 TRANS51331 tumblr_nqt86b7tD31rltsrco1_400 What does the cat do before look to camera ?climb on man's head	What does the cat do before look to camera ?touch hair	What does the cat do before look to camera ?smile	What does the cat do before look to camera ?talk about something	What does the cat do before look to camera ?mind own business
1 3 TRANS48604 tumblr_n963jwNmCx1rxctwgo1_500 What does the man do after stand ?blow kiss	What does the man do after stand ?roll and stand	What does the man do after stand ?touch other man's face	What does the man do after stand ?walk in girlfriends shoe	What does the man do after stand ?flip around
1 3 TRANS2176 tumblr_nhiwc3ueUd1tjietno1_250 What does the guy do after smile ?dance with girl	What does the guy do after smile ?act as if he shoot a gun	What does the guy do after smile ?twirl around with streamers	What does the guy do after smile ?brush hair	What does the guy do after smile ?stomp the ground
2 1 TRANS43420 tumblr_nr7badeW1R1uaavsyo1_500 What does the man do after smile ?step backwards	What does the man do after smile ?drink beer	What does the man do after smile ?move closer together	What does the man do after smile ?flip jacket collar	What does the man do after smile ?turning to side
4 1 TRANS7470 tumblr_npy4c6ERuh1uv0y2ro1_250 What does the cat do after look to the left ?wheel onto skateboard	What does the cat do after look to the left ?raise a paw	What does the cat do after look to the left ?smirk	What does the cat do after look to the left ?tilt head	What does the cat do after look to the left ?rock head
1 0 TRANS15060 tumblr_nodi2rLQXk1tselino1_400 What does the woman on right do after hit someone's hand ?fold right arm	What does the woman on right do after hit someone's hand ?nod head	What does the woman on right do after hit someone's hand ?dance	What does the woman on right do after hit someone's hand ?driving	What does the woman on right do after hit someone's hand ?crash on pation
1 3 TRANS10080 tumblr_nnc0a8RuMG1qc1zxwo1_400 What does the girl do after smile at the camera ?drift around corner	What does the girl do after smile at the camera ?raise microphone	What does the girl do after smile at the camera ?wink	What does the girl do after smile at the camera ?blink eyes	What does the girl do after smile at the camera ?attach speakers
0 2 TRANS23113 tumblr_nfpm0cJG551tvaskbo1_400 What does the woman do before change direction make eye contact with another subject ?appear at top of the stairs	What does the woman do before change direction make eye contact with another subject ?nod	What does the woman do before change direction make eye contact with another subject ?swim	What does the woman do before change direction make eye contact with another subject ?fix hair	What does the woman do before change direction make eye contact with another subject ?smoke a cigarette
0 2 TRANS43804 tumblr_nbwu6g8ViV1s5112po1_500 What does the man do after walks ?step back	What does the man do after walks ?run	What does the man do after walks ?hugs	What does the man do after walks ?start to kiss	What does the man do after walks ?raise eyebrows
3 0 TRANS21045 tumblr_nb7ga4aK9F1tdyi9oo1_400 What does the woman do before move forward ?wait	What does the woman do before move forward ?lean back	What does the woman do before move forward ?flat	What does the woman do before move forward ?approach woman.	What does the woman do before move forward ?brush hair
1 3 TRANS39942 tumblr_nb1c34xCZI1tfp9nto1_500 What does the man do after pour hot water ?spin hat	What does the man do after pour hot water ?lift head	What does the man do after pour hot water ?raise a fist up	What does the man do after pour hot water ?look over shoulder	What does the man do after pour hot water ?swing hair
2 0 TRANS6062 tumblr_nb35qjo88f1r4ni78o1_250 What does the man do after look left ?slap hand down	What does the man do after look left ?skate forward	What does the man do after look left ?tilt head to right	What does the man do after look left ?wag finger	What does the man do after look left ?land on tree
4 3 TRANS18206 tumblr_n9lsc2TV6l1rf2pgvo1_400 What does the woman do after stare ?cheer	What does the woman do after stare ?hug it	What does the woman do after stare ?walk away	What does the woman do after stare ?cover camera	What does the woman do after stare ?swallow hard
4 3 TRANS22865 tumblr_nfl4ngA2vq1s71nvbo1_250 What does the front man do before turn over table ?drive in the day	What does the front man do before turn over table ?lower hand	What does the front man do before turn over table ?sink under water	What does the front man do before turn over table ?dance	What does the front man do before turn over table ?clear window
0 3 TRANS11757 tumblr_nj0gp8UaPp1u9c93ao1_400 What does the man do before touch to vest ?point	What does the man do before touch to vest ?flex muscle	What does the man do before touch to vest ?frame face with hand	What does the man do before touch to vest ?sing a song	What does the man do before touch to vest ?brush hair back
1 2 TRANS52152 tumblr_ncc1ycDVbj1rijrceo1_500 What does the woman in blue do after ride an elevator ?point to the crowd	What does the woman in blue do after ride an elevator ?run on wall	What does the woman in blue do after ride an elevator ?kiss other woman	What does the woman in blue do after ride an elevator ?raise hand in the air	What does the woman in blue do after ride an elevator ?start singing
2 1 TRANS28509 tumblr_n8zkz0clvD1t4tud5o1_250 What does the man do before reach up in the air ?eat treat	What does the man do before reach up in the air ?wave hand in the air	What does the man do before reach up in the air ?lean against wall	What does the man do before reach up in the air ?lick food off finger	What does the man do before reach up in the air ?stay off
0 3 TRANS39435 tumblr_nbax2i9PKO1tjga18o1_400 What does the man do before start slide ?kick ball	What does the man do before start slide ?spin in arm	What does the man do before start slide ?ride a skateboard on ledge	What does the man do before start slide ?lay still	What does the man do before start slide ?hit glass
1 2 TRANS533 tumblr_ngu7wk7EeC1qeyudjo1_250 What does the woman do before celebrate ?enjoys massage	What does the woman do before celebrate ?sing	What does the woman do before celebrate ?remove a bar from a game	What does the woman do before celebrate ?surf up wave	What does the woman do before celebrate ?wave
2 4 TRANS35178 tumblr_nhihfqgnjK1u71wuao1_400 What does the man on left do after talk ?ride a bike up a ramp	What does the man on left do after talk ?run	What does the man on left do after talk ?raise hand	What does the man on left do after talk ?play guitar	What does the man on left do after talk ?stare
0 3 TRANS22214 tumblr_ng0usjJWj41rebzpvo1_400 What does the man do after look at camera ?lift head	What does the man do after look at camera ?hook a car	What does the man do after look at camera ?kiss the woman's shoulder	What does the man do after look at camera ?become blury	What does the man do after look at camera ?lick lips
2 0 TRANS28477 tumblr_napklqSAmm1ti85ceo1_250 What does the man do before blink ?raise eye	What does the man do before blink ?slide	What does the man do before blink ?stare	What does the man do before blink ?slip through door crack	What does the man do before blink ?looks
0 3 TRANS21072 tumblr_nr4ssypv3Y1uaujqao1_400 What does the frog do after open mouth ?roll down road	What does the frog do after open mouth ?flip forward	What does the frog do after open mouth ?dance	What does the frog do after open mouth ?close mouth	What does the frog do after open mouth ?scratch head
0 2 TRANS6354 tumblr_nd93viKo511shv03qo1_r6_400 What does the girl do after shake butt ?hop	What does the girl do after shake butt ?land and roll	What does the girl do after shake butt ?look behind her	What does the girl do after shake butt ?dive backwards	What does the girl do after shake butt ?wave hand
2 0 TRANS33508 tumblr_nhlzyti80Q1tlwsgoo1_500 What does the lady do after blink ?lift chopsticks	What does the lady do after blink ?talk to someone	What does the lady do after blink ?watch image	What does the lady do after blink ?talking with someone	What does the lady do after blink ?shoot puck
4 2 TRANS37576 tumblr_naa11tbBvx1tebyg2o1_400 What does the boy on left do after look at other boy ?eat it	What does the boy on left do after look at other boy ?lean down	What does the boy on left do after look at other boy ?wave arm around	What does the boy on left do after look at other boy ?stay on the floor	What does the boy on left do after look at other boy ?hide behind the other person
1 3 TRANS26542 tumblr_nf3l77geE51tckhoro1_250 What does the team do after hug ?lower head	What does the team do after hug ?run hand down the man's chest	What does the team do after hug ?change direction	What does the team do after hug ?hug and cry	What does the team do after hug ?on the left side of the road
3 0 TRANS47935 tumblr_nirfqkloUU1tm4ygto1_250 What does the woman do before remove goggle ?shoot gun	What does the woman do before remove goggle ?step forward	What does the woman do before remove goggle ?lie down	What does the woman do before remove goggle ?open eyes	What does the woman do before remove goggle ?raise head
4 3 TRANS36495 tumblr_nar370nJIW1s5wdwao1_500 What does the man do before spin around ?lean forward	What does the man do before spin around ?slide to the right	What does the man do before spin around ?lift arm	What does the man do before spin around ?do a fake motion	What does the man do before spin around ?swing once
3 4 TRANS35249 tumblr_nc4ewxsrvh1skx11do1_250 What does the man in a black suit do before grab a back pack ?touch chin	What does the man in a black suit do before grab a back pack ?lean to the left	What does the man in a black suit do before grab a back pack ?roll under rope	What does the man in a black suit do before grab a back pack ?spin	What does the man in a black suit do before grab a back pack ?walk straight
4 0 TRANS40020 tumblr_nfghin7vcs1t3037qo1_400 What does the woman do after step ?kiss with a man	What does the woman do after step ?run away	What does the woman do after step ?have finger close in	What does the woman do after step ?point at camera	What does the woman do after step ?raise a flashlight
4 0 TRANS46577 tumblr_n9larxUxd71sofft2o1_400 What does the girl in white do before hug girl ?stare at girl wear white shirt	What does the girl in white do before hug girl ?raise head up	What does the girl in white do before hug girl ?run	What does the girl in white do before hug girl ?place hand on shoulder	What does the girl in white do before hug girl ?step away from man
0 2 TRANS35030 tumblr_n9tizkCYCo1qzack5o1_400 What does the person do after rides horse ?try to kick at ball	What does the person do after rides horse ?talk	What does the person do after rides horse ?falls off	What does the person do after rides horse ?have hand in jacuzzi	What does the person do after rides horse ?lean back
4 2 TRANS23992 tumblr_n8rofawlJC1tf5z60o1_250 What does the woman do after stick out tongue ?flip forward	What does the woman do after stick out tongue ?dance	What does the woman do after stick out tongue ?close certain	What does the woman do after stick out tongue ?scratch itself	What does the woman do after stick out tongue ?nod head
4 0 TRANS51493 tumblr_nh0htmQzPY1qhrx75o1_400 What does the hockey player who wear a white shirt do before hit a puck toward a net ?steal puck	What does the hockey player who wear a white shirt do before hit a puck toward a net ?open mouth	What does the hockey player who wear a white shirt do before hit a puck toward a net ?touch finger	What does the hockey player who wear a white shirt do before hit a puck toward a net ?smile	What does the hockey player who wear a white shirt do before hit a puck toward a net ?face away from the camera
3 1 TRANS17460 tumblr_nkiqdkU0Xw1sn9nmoo1_400 What does the man do after look at camera ?run	What does the man do after look at camera ?smile	What does the man do after look at camera ?on a table	What does the man do after look at camera ?use both hand	What does the man do after look at camera ?lower arm
2 1 TRANS40662 tumblr_njw2gle3ek1u8uroco1_400 What does the cat do after raise head up ?open	What does the cat do after raise head up ?shake head	What does the cat do after raise head up ?close mouth	What does the cat do after raise head up ?run hand through hair	What does the cat do after raise head up ?point up
1 3 TRANS33374 tumblr_nhq77je8AI1rku1hfo1_400 What does the guy do after stop ?bend body	What does the guy do after stop ?scream	What does the guy do after stop ?kiss a girl	What does the guy do after stop ?keep walk	What does the guy do after stop ?sing into a microphone
0 4 TRANS23 tumblr_n9y2jhq01L1rts5xfo1_250 What does the man do before point to the camera ?vacuum with unnattached tube	What does the man do before point to the camera ?tilt head	What does the man do before point to the camera ?tip hat	What does the man do before point to the camera ?removes glasses	What does the man do before point to the camera ?sing passionately
2 4 TRANS24545 tumblr_ngws0aBHUj1slj978o1_400 What does the woman do before realize that the direction was wrong ?wind up	What does the woman do before realize that the direction was wrong ?fire a lazer beam from eye	What does the woman do before realize that the direction was wrong ?wave a finger on both hand	What does the woman do before realize that the direction was wrong ?arm down	What does the woman do before realize that the direction was wrong ?try to take a selfie
2 3 TRANS17919 tumblr_n8x0vtknbl1rhmx5uo1_400 What does the left man do before sit up straight ?count one	What does the left man do before sit up straight ?adjust collar	What does the left man do before sit up straight ?raise arm	What does the left man do before sit up straight ?rock body	What does the left man do before sit up straight ?extend arm
1 4 TRANS19261 tumblr_nhdpcfJ9wz1r440y4o1_400 What does the woman do before spin around ?sneak around alley way	What does the woman do before spin around ?spin	What does the woman do before spin around ?skip	What does the woman do before spin around ?trip	What does the woman do before spin around ?face the camera
4 2 TRANS15416 tumblr_npfcfptpJX1u0chl3o1_400 What does the yellow kitty do after stand on hind legs ?smoke	What does the yellow kitty do after stand on hind legs ?talk	What does the yellow kitty do after stand on hind legs ?swing paws	What does the yellow kitty do after stand on hind legs ?remove clip from hair	What does the yellow kitty do after stand on hind legs ?hide behind their knee
2 3 TRANS40788 tumblr_nfdf1xfsD11t06o0xo1_400 What does the big tire do after rolling down hill ?give a kiss	What does the big tire do after rolling down hill ?talk in ling shoot	What does the big tire do after rolling down hill ?ride skateboard on surface	What does the big tire do after rolling down hill ?falling over	What does the big tire do after rolling down hill ?shoot ball
4 0 TRANS8183 tumblr_na7zofXXBQ1t5ojzdo1_250 What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?walk with blonde girl's head on shoulder	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?shrug	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?remove sticker	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?wave at camera	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?exhale smoke
2 4 TRANS49398 tumblr_npjbm8zizK1txgyxzo1_500 What does the girl do after sit ?stop singing	What does the girl do after sit ?raise arm	What does the girl do after sit ?walk seductively into elevator	What does the girl do after sit ?run towards camera	What does the girl do after sit ?touch hat
0 3 TRANS49947 tumblr_ne5q8paqlV1qeuv1ko1_400 What does the woman do before point ?try to kiss	What does the woman do before point ?talk into microphone	What does the woman do before point ?come to other man	What does the woman do before point ?arm down	What does the woman do before point ?leave to the left
0 3 TRANS9862 tumblr_ngt6jyMD2T1tghv5fo1_400 What does the man do after stand ?pat arm	What does the man do after stand ?twirl	What does the man do after stand ?frown	What does the man do after stand ?surprise	What does the man do after stand ?sway back and forth play an instrument
3 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 2 TRANS21712 tumblr_nckb7kU2K51tvnqzoo1_500 What does the man do after spread hands out ?eat ice cream	What does the man do after spread hands out ?sing in microphone	What does the man do after spread hands out ?wave hand	What does the man do after spread hands out ?wear hat	What does the man do after spread hands out ?tie tie
2 4 TRANS32667 tumblr_ngch4nW6KK1slj978o1_250 What does the man do before roll on the floor ?alone	What does the man do before roll on the floor ?hide under couch	What does the man do before roll on the floor ?disappear in flame	What does the man do before roll on the floor ?smile	What does the man do before roll on the floor ?kick legs
3 1 TRANS40561 tumblr_ncdocwevQG1sfz1a5o1_500 What does the lady do before smile ?kiss man	What does the lady do before smile ?lower microphone	What does the lady do before smile ?smile	What does the lady do before smile ?talk	What does the lady do before smile ?kick a ball
2 3 TRANS41928 tumblr_nfiy4ozoNY1s7kd47o1_500 What does the woman do after look at man ?spin	What does the woman do after look at man ?kiss the camera screen	What does the woman do after look at man ?smile	What does the woman do after look at man ?put finger in mouth	What does the woman do after look at man ?ride a car
2 0 TRANS18479 tumblr_nkucigkbH01rah52so1_400 What does the woman do before stick tongue out ?zip out lips	What does the woman do before stick tongue out ?stare ahead	What does the woman do before stick tongue out ?talk about something	What does the woman do before stick tongue out ?upset	What does the woman do before stick tongue out ?react to be hit in the face
3 4 TRANS56078 tumblr_nht4i30HAy1u7ebs7o1_500 What does the woman do after talk ?jump around	What does the woman do after talk ?run	What does the woman do after talk ?throw a microphone from one hand to the other	What does the woman do after talk ?push off wall	What does the woman do after talk ?smile
2 0 TRANS27623 tumblr_nft6vgUozT1u4gnp8o1_400 What does the man do before point again ?point at camera and put hand down	What does the man do before point again ?kiss a man	What does the man do before point again ?sing	What does the man do before point again ?lick paw	What does the man do before point again ?dance
4 1 TRANS16565 tumblr_nacr4yNfLD1tej38vo1_400 What does the woman on left do before woman hold two finger up ?pitch ball at pin	What does the woman on left do before woman hold two finger up ?woman smile and blow kiss	What does the woman on left do before woman hold two finger up ?adjust handcuff	What does the woman on left do before woman hold two finger up ?rush around	What does the woman on left do before woman hold two finger up ?wrap arm around man neck
1 4 TRANS24317 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do before point forward ?kiss the girl	What does the lady do before point forward ?rock hips	What does the lady do before point forward ?walk on street	What does the lady do before point forward ?man sing	What does the lady do before point forward ?adjust a large doll
1 3 TRANS57171 tumblr_no4mczo7UB1qirwpco1_500 What does the girl do before kiss boy ?walk away from another man on right	What does the girl do before kiss boy ?smile at cat	What does the girl do before kiss boy ?touch hair	What does the girl do before kiss boy ?move forward	What does the girl do before kiss boy ?throw table
4 1 TRANS42776 tumblr_nqtljw2VYI1uzrt09o1_400 What does the hockey player do after stand on the wall ?walk to a girl	What does the hockey player do after stand on the wall ?pressed by others	What does the hockey player do after stand on the wall ?talk	What does the hockey player do after stand on the wall ?ride a horse	What does the hockey player do after stand on the wall ?run towards ball
3 4 TRANS52233 tumblr_nl3ljyQlT21u34u6eo1_500 What does the girl do before change position ?start foam	What does the girl do before change position ?run	What does the girl do before change position ?point at camera	What does the girl do before change position ?raise hand	What does the girl do before change position ?kiss boy
2 3 TRANS15331 tumblr_np337z8sUF1upx9wro1_400 What does the man do before turn to right ?rotate badge of person on right	What does the man do before turn to right ?pet ring	What does the man do before turn to right ?open shirt	What does the man do before turn to right ?beat to head	What does the man do before turn to right ?remove speakers
4 0 TRANS13980 tumblr_ncfftzY5fx1t7yn7co1_250 What does the man do after grab the girls hand ?lead to dance	What does the man do after grab the girls hand ?stare	What does the man do after grab the girls hand ?squat in front of barbell	What does the man do after grab the girls hand ?clap while laugh	What does the man do after grab the girls hand ?duck under the phone cord
1 2 TRANS22505 tumblr_nnukunx7r61uuj39do1_400 What does the goat and boy do before ram little boy twice ?hold opponent upside down	What does the goat and boy do before ram little boy twice ?open umbrella	What does the goat and boy do before ram little boy twice ?goat back up	What does the goat and boy do before ram little boy twice ?bounce off rope	What does the goat and boy do before ram little boy twice ?move around
