0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
4 1 TRANS47791 tumblr_neddm7VXxe1u2b0jwo1_400 What does the kitten do before pause to look at the camera ?touch hair	What does the kitten do before pause to look at the camera ?crawl along the ground	What does the kitten do before pause to look at the camera ?point at girl behind	What does the kitten do before pause to look at the camera ?say something	What does the kitten do before pause to look at the camera ?give thumb up
3 2 TRANS4486 tumblr_nkbe7fQmbE1sts6bno1_250 What does the man do after wipe eye with finger ?thrust hips	What does the man do after wipe eye with finger ?stare ahead	What does the man do after wipe eye with finger ?cover eye with palm	What does the man do after wipe eye with finger ?grin	What does the man do after wipe eye with finger ?inhale
4 1 TRANS1511 tumblr_niszs8ZrOk1t17ssjo1_500 What does the woman do before stare straight ?scores goal	What does the woman do before stare straight ?purse lips	What does the woman do before stare straight ?dance	What does the woman do before stare straight ?signal to camera	What does the woman do before stare straight ?pout lips
4 0 TRANS9649 tumblr_no3swt5pjq1s6ooqoo1_250 What does the empty glass do before become full of wine ?fill with wine	What does the empty glass do before become full of wine ?wave hand	What does the empty glass do before become full of wine ?ride the motorcycle	What does the empty glass do before become full of wine ?stun	What does the empty glass do before become full of wine ?attacks the toy
4 3 TRANS9619 tumblr_nc7efqGkwg1t7dot3o1_250 What does the woman do before jump ?sniff a flower	What does the woman do before jump ?wink	What does the woman do before jump ?dribble soccer ball	What does the woman do before jump ?raise hand	What does the woman do before jump ?stare foward
2 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
3 1 TRANS52304 tumblr_nh2a6rTXy61th93mpo1_r1_500 What does the woman in background do after stick out tongue ?stop wag it's tail	What does the woman in background do after stick out tongue ?lean back	What does the woman in background do after stick out tongue ?catch up by someone	What does the woman in background do after stick out tongue ?talk	What does the woman in background do after stick out tongue ?leave
0 4 TRANS19278 tumblr_nfzcqzYrw51rmpwnoo1_400 What does the woman do after swing hand to forward ?woman hold two finger up	What does the woman do after swing hand to forward ?become digusted	What does the woman do after swing hand to forward ?person hold dog	What does the woman do after swing hand to forward ?speak	What does the woman do after swing hand to forward ?bounce head in air
1 0 TRANS10844 tumblr_n8qp6qt1ZD1qa2n7ao1_400 What does the woman do after roll eye ?bend head towards right shoulder	What does the woman do after roll eye ?talks	What does the woman do after roll eye ?score goal	What does the woman do after roll eye ?play the guitar	What does the woman do after roll eye ?in the water
1 2 TRANS32835 tumblr_nbvbcghkoA1s1p3txo1_400 What does the woman do before pose ?hug	What does the woman do before pose ?open door	What does the woman do before pose ?spin in air	What does the woman do before pose ?looking through sunglasses	What does the woman do before pose ?sing
0 1 TRANS27916 tumblr_naj9smLJW61tb2khbo1_250 What does the man do after walk ?punch	What does the man do after walk ?lie down	What does the man do after walk ?drag head on ground	What does the man do after walk ?hit car	What does the man do after walk ?fix tie
3 1 TRANS58661 tumblr_nc8m05WdLB1tljy7co1_500 What does the on the left do before return card ?smile at the camera	What does the on the left do before return card ?choose card	What does the on the left do before return card ?catch a fish	What does the on the left do before return card ?down	What does the on the left do before return card ?lay on ground
3 2 TRANS55888 tumblr_noaswjesmm1th7g9io1_400 What does the cat on right do after lick another cat ?stick out tongue	What does the cat on right do after lick another cat ?blow smoke	What does the cat on right do after lick another cat ?receive push by cat on left	What does the cat on right do after lick another cat ?knock monitor off desk	What does the cat on right do after lick another cat ?jump in air
1 2 TRANS25738 tumblr_nqx4zeo6jf1skxa1uo1_250 What does the woman do after head still ?scream	What does the woman do after head still ?bite lip	What does the woman do after head still ?moving head	What does the woman do after head still ?pretend to take a selfie	What does the woman do after head still ?smoke
2 0 TRANS17470 tumblr_natv2nEoY61thpfzwo1_400 What does the woman do after look downward ?flip hair	What does the woman do after look downward ?attack a competitor	What does the woman do after look downward ?serious look	What does the woman do after look downward ?spread arm out	What does the woman do after look downward ?perform backflip
4 3 TRANS57229 tumblr_nc7a65y60O1r9zq5ro1_500 What does the guy on right do before smack guy in face ?start to grab cigarette pack	What does the guy on right do before smack guy in face ?run away	What does the guy on right do before smack guy in face ?push another man away	What does the guy on right do before smack guy in face ?stare at guy on left	What does the guy on right do before smack guy in face ?bring a water bucket
2 1 TRANS20473 tumblr_nefe46IPQf1tjiaa2o1_400 What does the man in white do before start to play ?snap finger	What does the man in white do before start to play ?raise guitar	What does the man in white do before start to play ?glance right	What does the man in white do before start to play ?punch man	What does the man in white do before start to play ?brush hair
3 4 TRANS19674 tumblr_noz01nl4SR1rg5iq4o1_400 What does the man do after touch hair ?lick string	What does the man do after touch hair ?hug	What does the man do after touch hair ?sing	What does the man do after touch hair ?kiss	What does the man do after touch hair ?point
2 4 TRANS30630 tumblr_ndlhwgX2fm1tm15nlo1_400 What does the cat do after place paw on person's hand ?run away	What does the cat do after place paw on person's hand ?step on foot	What does the cat do after place paw on person's hand ?sing into camera	What does the cat do after place paw on person's hand ?play piano	What does the cat do after place paw on person's hand ?bite person's hand
3 4 TRANS9547 tumblr_neyfonjRiM1rt9t46o1_250 What does the woman do before yell ?wink	What does the woman do before yell ?speak	What does the woman do before yell ?shrug off	What does the woman do before yell ?dry	What does the woman do before yell ?hit car with stick
3 1 TRANS52211 tumblr_nd6fty53jA1rol592o1_500 What does the candle do before blown out ?try to catch from fall	What does the candle do before blown out ?lit	What does the candle do before blown out ?raise arm	What does the candle do before blown out ?give the paper to a dog	What does the candle do before blown out ?stop for the officer
4 2 TRANS31250 tumblr_na0s23vugd1sft9vjo1_250 What does the woman do after stare at a man ?lean over	What does the woman do after stare at a man ?smile	What does the woman do after stare at a man ?throw book to the ground	What does the woman do after stare at a man ?begin singing	What does the woman do after stare at a man ?slowly turn head around
3 4 TRANS10388 tumblr_naqr8iApeZ1tknp3uo1_250 What does the man do after spread arm ?squint	What does the man do after spread arm ?clap	What does the man do after spread arm ?sniff cigarette	What does the man do after spread arm ?sway hips	What does the man do after spread arm ?cover face
0 4 TRANS50704 tumblr_nnkjulMoHH1qfgmtoo1_500 What does the lady do after turn forward ?look at a woman	What does the lady do after turn forward ?smile	What does the lady do after turn forward ?laugh	What does the lady do after turn forward ?walk	What does the lady do after turn forward ?push hair back
0 1 TRANS37897 tumblr_nee2klxL6g1rwq3wxo1_400 What does the woman do before put head down ?point finger	What does the woman do before put head down ?sing toward the audience	What does the woman do before put head down ?drop ingredient into pot	What does the woman do before put head down ?lean to the left	What does the woman do before put head down ?run out of the room
4 3 TRANS30794 tumblr_njy7o4JdmP1u2mi4fo1_400 What does the man do after make hand sign ?wait for chain to be cut	What does the man do after make hand sign ?run left	What does the man do after make hand sign ?laugh	What does the man do after make hand sign ?shape a baloon into a dog	What does the man do after make hand sign ?walk to the right
0 4 TRANS42478 tumblr_nqn3tqmbjc1souwjko1_400 What does the black man do after show object ?touch hand with the other boy	What does the black man do after show object ?spin in arm	What does the black man do after show object ?step forward	What does the black man do after show object ?lift hand up	What does the black man do after show object ?eat object
4 3 TRANS53019 tumblr_ndjmseALcv1sbow0fo1_500 What does the woman wearing black do before fix ponytail ?smile	What does the woman wearing black do before fix ponytail ?talk	What does the woman wearing black do before fix ponytail ?see face	What does the woman wearing black do before fix ponytail ?spray the girl's hair	What does the woman wearing black do before fix ponytail ?move hand
0 2 TRANS129 tumblr_na7ng2zh3f1thntp8o1_250 What does the woman do before bow ?shrug	What does the woman do before bow ?furious	What does the woman do before bow ?raise fist	What does the woman do before bow ?thump towrad woman's side	What does the woman do before bow ?sled down the beach
0 2 TRANS11343 tumblr_n9rm225ieV1tdmffyo1_250 What does the woman do before kick a mug ?clip some animal fur	What does the woman do before kick a mug ?lick teeth	What does the woman do before kick a mug ?raise leg	What does the woman do before kick a mug ?boring	What does the woman do before kick a mug ?punch
3 2 TRANS14082 tumblr_narza02pKW1sk1ccdo1_400 What does the woman do after looking through sunglasses ?in front of camera	What does the woman do after looking through sunglasses ?play guitar	What does the woman do after looking through sunglasses ?pulling down sunglasses	What does the woman do after looking through sunglasses ?please	What does the woman do after looking through sunglasses ?clap right hand
4 1 TRANS22323 tumblr_ngv6p5XLxa1u4i3qco1_400 What does the dog do before watch the ball roll around ?cover mouth with hand	What does the dog do before watch the ball roll around ?bite the ball with mouth	What does the dog do before watch the ball roll around ?step back	What does the dog do before watch the ball roll around ?sing	What does the dog do before watch the ball roll around ?enter a store
2 3 TRANS3085 tumblr_no4ptzwyDv1qm9n8co1_400 What does the male singer with long hair do before turn head ?deposit the chocolate	What does the male singer with long hair do before turn head ?crouch down	What does the male singer with long hair do before turn head ?point finger	What does the male singer with long hair do before turn head ?sing	What does the male singer with long hair do before turn head ?tumble on floor
3 4 TRANS39475 tumblr_njvt58aRya1u9uafoo1_400 What does the man do before wear a sun glass ?spin	What does the man do before wear a sun glass ?draw heart	What does the man do before wear a sun glass ?hit the person's face	What does the man do before wear a sun glass ?shoot the bird while sit down	What does the man do before wear a sun glass ?sleep
4 1 TRANS13165 tumblr_ni07wyWJAu1tgftffo1_400 What does the man do before stick out tongue ?adjust short	What does the man do before stick out tongue ?walk	What does the man do before stick out tongue ?punch air	What does the man do before stick out tongue ?flash hair	What does the man do before stick out tongue ?cover mouth
1 4 TRANS504 tumblr_ncc3fjkfjz1twdp7go1_250 What does the boy do after drag the razor along jaw ?kneel on floor	What does the boy do after drag the razor along jaw ?chew pepper	What does the boy do after drag the razor along jaw ?scurry away	What does the boy do after drag the razor along jaw ?wiggle toe	What does the boy do after drag the razor along jaw ?lift it
4 0 TRANS13042 tumblr_nk21qk9daB1tm93wqo1_400 What does the woman do after look at something ?walk away	What does the woman do after look at something ?wave hand	What does the woman do after look at something ?rotate head	What does the woman do after look at something ?flash card	What does the woman do after look at something ?neutral expression
0 3 TRANS35237 tumblr_nihz1vlhvQ1qgnh1wo1_500 What does the singer do before shake head vigorously ?lean into guy's ear	What does the singer do before shake head vigorously ?point with a banana	What does the singer do before shake head vigorously ?drop a liquid	What does the singer do before shake head vigorously ?sing a song	What does the singer do before shake head vigorously ?run
3 1 TRANS18317 tumblr_n9hj4wRoaE1tddtydo1_400 What does the woman do before blow a kiss ?kiss that man	What does the woman do before blow a kiss ?count	What does the woman do before blow a kiss ?rock climb	What does the woman do before blow a kiss ?nod their head	What does the woman do before blow a kiss ?embrace another man
2 4 TRANS15007 tumblr_natc50Bn5N1taq9qwo1_250 What does the girl do before turn head ?holds up another man	What does the girl do before turn head ?raise leg	What does the girl do before turn head ?serious	What does the girl do before turn head ?prepare to jump	What does the girl do before turn head ?blink
3 2 TRANS9181 tumblr_nbov37iDaw1s3sl66o1_250 What does the man do before look right ?raise arm	What does the man do before look right ?shrug shoulder	What does the man do before look right ?blink	What does the man do before look right ?serious	What does the man do before look right ?walks
2 1 TRANS5561 tumblr_npi534NHLs1s33us3o1_250 What does the boy do before lift arm to face ?sip from cup	What does the boy do before lift arm to face ?arm down by lap	What does the boy do before lift arm to face ?tilt head	What does the boy do before lift arm to face ?talk	What does the boy do before lift arm to face ?skate down the ramp
4 0 TRANS15226 tumblr_ngi9a7ePP51si6uplo1_500 What does the girl do after run across a mat ?fall on face	What does the girl do after run across a mat ?hug friend	What does the girl do after run across a mat ?brush top right teeth	What does the girl do after run across a mat ?lick infant	What does the girl do after run across a mat ?drive a car
0 1 TRANS32466 tumblr_nhnngcB3Zn1thtmfro1_400 What does the lady do after stare ?serious	What does the lady do after stare ?walk away	What does the lady do after stare ?lean back	What does the lady do after stare ?roll across the field	What does the lady do after stare ?spin upside down on pole
0 2 TRANS47914 tumblr_njv4k2CXi71u0cwu7o1_250 What does the boy do after stand ?start move	What does the boy do after stand ?run	What does the boy do after stand ?hug the girl	What does the boy do after stand ?open a box	What does the boy do after stand ?raise eyebrows
3 1 TRANS38324 tumblr_n8prgwxqia1sjtpddo1_400 What does the woman do after kiss hand ?lean back	What does the woman do after kiss hand ?blow kiss	What does the woman do after kiss hand ?walk	What does the woman do after kiss hand ?touch head	What does the woman do after kiss hand ?open a present
4 1 TRANS12490 tumblr_nl1flazV921remizro1_400 What does the boy who hold a microphone do after stand ?talk	What does the boy who hold a microphone do after stand ?bow head	What does the boy who hold a microphone do after stand ?drives around the bend	What does the boy who hold a microphone do after stand ?concern	What does the boy who hold a microphone do after stand ?run from bus explosion
1 3 TRANS19971 tumblr_nbfms5bNhL1s3lrg5o1_400 What does the man do before stand ?land on ground	What does the man do before stand ?open	What does the man do before stand ?fire a shoot	What does the man do before stand ?spin lever	What does the man do before stand ?beside face
3 0 TRANS51331 tumblr_nqt86b7tD31rltsrco1_400 What does the cat do before look to camera ?climb on man's head	What does the cat do before look to camera ?touch hair	What does the cat do before look to camera ?smile	What does the cat do before look to camera ?talk about something	What does the cat do before look to camera ?mind own business
3 0 TRANS45153 tumblr_no6bzf5Th51t33lqpo1_500 What does the woman do before walk behind the door ?wave	What does the woman do before walk behind the door ?pick up and eat poop	What does the woman do before walk behind the door ?walk on a desk	What does the woman do before walk behind the door ?sit in chair	What does the woman do before walk behind the door ?laugh
4 1 TRANS50134 tumblr_nfgsquCDMi1ssgyoro1_400 What does the baby do after dance ?touch the dog	What does the baby do after dance ?squat down	What does the baby do after dance ?open mouth	What does the baby do after dance ?smile	What does the baby do after dance ?make eleictric wire spark
2 3 TRANS41111 tumblr_nct9irBVTo1tdjuqvo1_400 What does the animal do before bite food ?not smile	What does the animal do before bite food ?lie on a bed	What does the animal do before bite food ?talk	What does the animal do before bite food ?grab someone's hand	What does the animal do before bite food ?smile
0 3 TRANS45411 tumblr_nbqwjcLhXN1tjxypdo1_400 What does the boy in back do before smile ?head turn	What does the boy in back do before smile ?kiss to the camera	What does the boy in back do before smile ?smile	What does the boy in back do before smile ?try to occlude the party hat	What does the boy in back do before smile ?face camera
0 2 TRANS17742 tumblr_nb74rb1LU51sr1dz7o1_400 What does the woman do after look at the camera ?blink	What does the woman do after look at the camera ?concentrate on something	What does the woman do after look at the camera ?open mouth	What does the woman do after look at the camera ?shake body	What does the woman do after look at the camera ?grind on rail
2 1 TRANS58139 tumblr_nb93xscurq1svk8nmo1_1280 What does the couple do before move their face closer together ?throw spike at man	What does the couple do before move their face closer together ?maintain some difference	What does the couple do before move their face closer together ?smile at camera	What does the couple do before move their face closer together ?pick up man in black short	What does the couple do before move their face closer together ?jump off the cage
4 3 TRANS56124 tumblr_nkrkl4u4JU1unyhx2o1_400 What does the blue car do after drive behind red car ?smile	What does the blue car do after drive behind red car ?open eye slowly	What does the blue car do after drive behind red car ?close up on smile	What does the blue car do after drive behind red car ?spin out	What does the blue car do after drive behind red car ?walk
3 4 TRANS2566 tumblr_nkh0ermIow1tmd6tdo1_400 What does the woman do after hold finger in a see ?lower body	What does the woman do after hold finger in a see ?wiggle	What does the woman do after hold finger in a see ?open mouth	What does the woman do after hold finger in a see ?caress man	What does the woman do after hold finger in a see ?shake head
2 1 TRANS29929 tumblr_n9629yoi9z1tb9kmwo1_250 What does the man on right do before grab another man's leg ?reach in bag	What does the man on right do before grab another man's leg ?laugh	What does the man on right do before grab another man's leg ?spread fingers out	What does the man on right do before grab another man's leg ?stretch out arm	What does the man on right do before grab another man's leg ?slide out of the race
4 2 TRANS14627 tumblr_niug00kIQZ1tu05oyo1_400 What does the man in hat do before start walk ?talk	What does the man in hat do before start walk ?on ramp	What does the man in hat do before start walk ?bend body toward a person	What does the man in hat do before start walk ?at the bottom of the stairs	What does the man in hat do before start walk ?read book
4 3 TRANS22850 tumblr_najpjmYwHh1tjcbnvo1_400 What does the woman do after sit ?fold arms	What does the woman do after sit ?sink under water	What does the woman do after sit ?clear throat	What does the woman do after sit ?dance in place	What does the woman do after sit ?fix hair
2 3 TRANS40483 tumblr_nexgtpuz0A1qehc8no1_500 What does the woman do before bend over ?raise right arm	What does the woman do before bend over ?close the door	What does the woman do before bend over ?have ice cube put into it	What does the woman do before bend over ?flip hair	What does the woman do before bend over ?cry
2 3 TRANS11828 tumblr_nhd5mguzE01sq0o5eo1_250 What does the woman do after turn head ?smooth the shirt front	What does the woman do after turn head ?slide out of a chair	What does the woman do after turn head ?blink	What does the woman do after turn head ?raise eyebrows	What does the woman do after turn head ?stare
3 0 TRANS9887 tumblr_na05z08opP1ry1g5io1_400 What does the men do before walk ?film themselves	What does the men do before walk ?squat	What does the men do before walk ?wink one eye	What does the men do before walk ?lick lips	What does the men do before walk ?eat the ice cream
1 3 TRANS17184 tumblr_n8xwsxN6Co1twn7jgo1_400 What does the person do after touch face ?eat some candy	What does the person do after touch face ?stare a head	What does the person do after touch face ?chew food	What does the person do after touch face ?wave	What does the person do after touch face ?choose card
1 3 TRANS13803 tumblr_noka4jzEvu1uvvbrro1_250 What does the man do before look at it ?in girl's finger	What does the man do before look at it ?stare at camera	What does the man do before look at it ?open mouth	What does the man do before look at it ?spin pipe	What does the man do before look at it ?near the camera
2 1 TRANS58428 tumblr_na7cuh365U1twhes8o1_500 What does the man with shirtless do after wave arm ?smile	What does the man with shirtless do after wave arm ?lower arm	What does the man with shirtless do after wave arm ?throw arm downward	What does the man with shirtless do after wave arm ?lay down on the floor	What does the man with shirtless do after wave arm ?catch a woman
3 1 TRANS24591 tumblr_n9xu4w1Lfq1tatohao1_400 What does the cat do before turn around ?lower arm	What does the cat do before turn around ?kick a door	What does the cat do before turn around ?appear from left	What does the cat do before turn around ?empty	What does the cat do before turn around ?write with pencil
3 2 TRANS41856 tumblr_na9hqkOWEy1td8ijso1_500 What does the man in gray shirt do after yell at someone ?ride on one wheel	What does the man in gray shirt do after yell at someone ?wake up	What does the man in gray shirt do after yell at someone ?hand a piece of paper	What does the man in gray shirt do after yell at someone ?talk to someone	What does the man in gray shirt do after yell at someone ?jump
0 2 TRANS69 tumblr_nqfhegeUAz1uz0hico1_250 What does the man do before turn head ?yawn	What does the man do before turn head ?perk ears	What does the man do before turn head ?cross legs	What does the man do before turn head ?rub the outside of hand	What does the man do before turn head ?pat mouth with hand
0 3 TRANS49947 tumblr_ne5q8paqlV1qeuv1ko1_400 What does the woman do before point ?try to kiss	What does the woman do before point ?talk into microphone	What does the woman do before point ?come to other man	What does the woman do before point ?arm down	What does the woman do before point ?leave to the left
2 4 TRANS10248 tumblr_n912w5GYV01teq0e2o1_400 What does the man do after laugh ?dance	What does the man do after laugh ?paw in the air	What does the man do after laugh ?wipe nose	What does the man do after laugh ?raise hand	What does the man do after laugh ?straight face
2 0 TRANS38478 tumblr_n8ysmyqhCM1si29axo1_400 What does the man do after point to himself ?wave hand	What does the man do after point to himself ?eat food	What does the man do after point to himself ?lean head backwards against other girl	What does the man do after point to himself ?pick up red ring last	What does the man do after point to himself ?shoot puck
0 4 TRANS5981 tumblr_nl0ukbRIlb1tz9jaqo1_250 What does the soccer ball do before net ?spin chain	What does the soccer ball do before net ?flip hair	What does the soccer ball do before net ?beckon	What does the soccer ball do before net ?tilt head	What does the soccer ball do before net ?man's head
3 0 TRANS6440 tumblr_nkhd92rnlh1txas8wo1_500 What does the man do after wake up suddenly ?remove a paper from face	What does the man do after wake up suddenly ?skate down ramp	What does the man do after wake up suddenly ?smirk	What does the man do after wake up suddenly ?scream at bear	What does the man do after wake up suddenly ?grin
0 4 TRANS36131 tumblr_nrlc3i7KYK1sqiy4oo1_400 What does the guy in back do before bounce ?straight face	What does the guy in back do before bounce ?slide off table	What does the guy in back do before bounce ?bite lip	What does the guy in back do before bounce ?kiss man's hand	What does the guy in back do before bounce ?raise arm
1 0 TRANS21426 tumblr_nkv5iz7KVL1unu56do1_400 What does the man do after sit ?eat rib	What does the man do after sit ?wave one arm	What does the man do after sit ?cover mouth with hand	What does the man do after sit ?bow head	What does the man do after sit ?nod head
3 4 TRANS42164 tumblr_mklakcStMl1rvbi0zo1_500 What does the lady do after stand still ?raise hand	What does the lady do after stand still ?run away	What does the lady do after stand still ?have mask	What does the lady do after stand still ?point forward	What does the lady do after stand still ?kiss man
3 1 TRANS53226 tumblr_nfdhm4hgxd1qmjp5wo1_500 What does the woman do after sing ?run hand through hair	What does the woman do after sing ?smile	What does the woman do after sing ?throw the ball	What does the woman do after sing ?push man's arm down	What does the woman do after sing ?jump onto a bed
2 0 TRANS2675 tumblr_ndhnqlxADu1qlev96o1_250 What does the woman do before blow kiss ?wave hand	What does the woman do before blow kiss ?snarl	What does the woman do before blow kiss ?talks	What does the woman do before blow kiss ?gasp in surprise	What does the woman do before blow kiss ?on man's chest
1 4 TRANS52334 tumblr_neh6x586Rl1tgic3yo1_500 What does the woman do after look right ?push on the tire	What does the woman do after look right ?open mouth	What does the woman do after look right ?raise one leg upward	What does the woman do after look right ?run up wall	What does the woman do after look right ?laugh
1 0 TRANS6417 tumblr_n9yi9qpZL21sz8fueo1_250 What does the man do before purse lips ?shake head	What does the man do before purse lips ?wink	What does the man do before purse lips ?gaze up at the boy	What does the man do before purse lips ?land	What does the man do before purse lips ?fondle another cat
1 3 TRANS14249 tumblr_n9gvzkuSii1tgn0uro1_500 What does the person do before toast the skull ?dance	What does the person do before toast the skull ?talk to camera	What does the person do before toast the skull ?confuse	What does the person do before toast the skull ?lift a glass	What does the person do before toast the skull ?mad
3 4 TRANS35535 tumblr_ncbrd1GZox1s71nvbo1_500 What does the bird do before lift wing ?looking serious	What does the bird do before lift wing ?close fist	What does the bird do before lift wing ?speak	What does the bird do before lift wing ?walk on ground	What does the bird do before lift wing ?roll down hill
2 0 TRANS47539 tumblr_nq0oa9NEcm1sna8pso1_500 What does the hockey player do before takes off mask ?throws a hocky stick	What does the hockey player do before takes off mask ?open mouth and laugh	What does the hockey player do before takes off mask ?to the left	What does the hockey player do before takes off mask ?place arm at side	What does the hockey player do before takes off mask ?happy
4 2 TRANS32009 tumblr_nk9t1iHZZn1uod8uho1_400 What does the guy who sits against a wall do before turn head ?raise arm up	What does the guy who sits against a wall do before turn head ?lift both hands up	What does the guy who sits against a wall do before turn head ?blink	What does the guy who sits against a wall do before turn head ?carry another man	What does the guy who sits against a wall do before turn head ?serious
3 2 TRANS37434 tumblr_nejz7hm7Cu1u2lrlao1_400 What does the woman do after lift hand ?walk	What does the woman do after lift hand ?lean forward	What does the woman do after lift hand ?blow smoke	What does the woman do after lift hand ?touch own lip	What does the woman do after lift hand ?open a present
4 1 TRANS9762 tumblr_nee932jtXs1u2a5mwo1_250 What does the woman do after smiles ?lean back	What does the woman do after smiles ?waves	What does the woman do after smiles ?eat food	What does the woman do after smiles ?swap microphone in hand	What does the woman do after smiles ?sign
0 1 TRANS9323 tumblr_nfncd202K81spvhnko1_400 What does the man do before talk ?wink eye	What does the man do before talk ?hit the air	What does the man do before talk ?rub guy's head	What does the man do before talk ?shrug shoulder	What does the man do before talk ?stare forward
4 2 TRANS17147 tumblr_nkmh1lP9bX1upoq86o1_400 What does the man do before point gun ?balance on man hand	What does the man do before point gun ?slide	What does the man do before point gun ?tell	What does the man do before point gun ?lower hand	What does the man do before point gun ?smooth hair
1 2 TRANS50169 tumblr_nknodg8h931slwpo8o1_250 What does the cat do before stand up ?touch man's back	What does the cat do before stand up ?pick up cat	What does the cat do before stand up ?lie down	What does the cat do before stand up ?start smile	What does the cat do before stand up ?grab shirt
4 0 TRANS7746 tumblr_njvix3hzTK1u3wykjo1_250 What does the girl on right do after stare forward ?lift left hand	What does the girl on right do after stare forward ?skate	What does the girl on right do after stare forward ?pour wine	What does the girl on right do after stare forward ?cuddle kitten closer	What does the girl on right do after stare forward ?talk
4 2 TRANS6812 tumblr_ndv1xyuxc11rksi71o1_250 What does the black man do after dance ?smirk	What does the black man do after dance ?paw a dog	What does the black man do after dance ?raise award in air	What does the black man do after dance ?crouch	What does the black man do after dance ?tilt head
3 4 TRANS50015 tumblr_n8tie8OOhC1tfj40ro1_400 What does the human do before raise hand ?open eye	What does the human do before raise hand ?point face	What does the human do before raise hand ?run	What does the human do before raise hand ?step forward	What does the human do before raise hand ?sing
3 4 TRANS28627 tumblr_nkwg77Ux711r5ygbco1_250 What does the dog do before eat snow ?flip hair back	What does the dog do before eat snow ?bounce on ball	What does the dog do before eat snow ?smoke	What does the dog do before eat snow ?scream	What does the dog do before eat snow ?follow hand
4 1 TRANS40662 tumblr_njw2gle3ek1u8uroco1_400 What does the cat do after raise head up ?open	What does the cat do after raise head up ?shake head	What does the cat do after raise head up ?close mouth	What does the cat do after raise head up ?run hand through hair	What does the cat do after raise head up ?point up
1 3 TRANS21411 tumblr_nawzfuDjWg1thc01ho1_500 What does the woman do before kick leg ?check lips	What does the woman do before kick leg ?dance right	What does the woman do before kick leg ?show face	What does the woman do before kick leg ?lay down	What does the woman do before kick leg ?wave finger
2 1 TRANS57017 tumblr_n7qshb2AJP1sug4g8o1_500 What does the woman do before open mouth ?catch up by someone	What does the woman do before open mouth ?lift head up	What does the woman do before open mouth ?look the other way	What does the woman do before open mouth ?start smile	What does the woman do before open mouth ?can't see face
2 1 TRANS46094 tumblr_npkm6wiSO51sslx8ho1_500 What does the woman do after stare the screen ?roll eyeball around	What does the woman do after stare the screen ?walk	What does the woman do after stare the screen ?touch neck	What does the woman do after stare the screen ?blow hair	What does the woman do after stare the screen ?flip hair
0 3 TRANS6087 tumblr_nagxc0Tfc31r69dm8o1_250 What does the woman do before make pucker lips ?wrinkle nose	What does the woman do before make pucker lips ?squat	What does the woman do before make pucker lips ?gyrate	What does the woman do before make pucker lips ?touch cheek by a hand	What does the woman do before make pucker lips ?pat chest
1 0 TRANS20324 tumblr_noyfekqixM1sj7lv3o1_400 What does the helicopter man do after move ?pick nose	What does the helicopter man do after move ?wave	What does the helicopter man do after move ?rise to feet	What does the helicopter man do after move ?dance	What does the helicopter man do after move ?blink eyes
0 2 TRANS755 tumblr_nbi0u01XqX1qje303o1_250 What does the woman do before kiss a guy ?signal come on	What does the woman do before kiss a guy ?don headphones	What does the woman do before kiss a guy ?upside down	What does the woman do before kiss a guy ?dance to the left	What does the woman do before kiss a guy ?dim
1 4 TRANS16464 tumblr_npzz6lGvVe1u32cyao1_400 What does the man do after shake head ?chew	What does the man do after shake head ?wave hand	What does the man do after shake head ?hop backwards	What does the man do after shake head ?flip other guy	What does the man do after shake head ?close a door
3 4 TRANS21674 tumblr_nkvpzrOoIg1qeh6x6o1_1280 What does the motorcycle do after fly toward camera ?kiss girl on right	What does the motorcycle do after fly toward camera ?awake	What does the motorcycle do after fly toward camera ?sing	What does the motorcycle do after fly toward camera ?shoot it	What does the motorcycle do after fly toward camera ?reverse away from camera
1 4 TRANS12209 tumblr_nc0l2nbHVE1t3ghero1_250 What do the man with headphones do before bear teeth ?frame the woman's face	What do the man with headphones do before bear teeth ?point	What do the man with headphones do before bear teeth ?squat	What do the man with headphones do before bear teeth ?flex arm	What do the man with headphones do before bear teeth ?sing
1 4 TRANS47530 tumblr_ng80p46gmE1s7t4vjo1_500 What does the man do after smile ?touch chair	What does the man do after smile ?straight face	What does the man do after smile ?smile	What does the man do after smile ?flip hair	What does the man do after smile ?raise hand
3 4 TRANS3831 tumblr_nopyj6DOCW1ryce90o1_250 What does the man do before look up ?inhale slowly	What does the man do before look up ?kneel down	What does the man do before look up ?peck shoot glass	What does the man do before look up ?puff up	What does the man do before look up ?kick ball
0 3 TRANS18737 tumblr_nkwxdzTvuu1uoxwa0o1_400 What does the woman do before stand ?balance	What does the woman do before stand ?cover the head with fists	What does the woman do before stand ?lower arm	What does the woman do before stand ?blow kiss	What does the woman do before stand ?dance left
